Treatment	HFD_control	LFD_control	LFD_control	FVT_SDT	FVT_ChP	FVT_UnT	FVT_PyT	FVT_SDT	LFD_control	FVT_SDT	FVT_ChP	FVT_ChP	FVT_PyT	HFD_control	HFD_control	LFD_control	FVT_SDT	FVT_ChP	FVT_ChP	FVT_UnT	FVT_UnT	HFD_control	LFD_control	FVT_PyT	FVT_PyT	FVT_SDT	FVT_ChP	FVT_ChP	FVT_UnT	FVT_SDT	LFD_control	FVT_PyT	FVT_ChP	FVT_UnT	FVT_SDT	FVT_PyT	HFD_control	HFD_control	HFD_control	LFD_control	FVT_PyT	LFD_control	FVT_UnT	HFD_control	FVT_UnT	FVT_UnT	FVT_PyT
id	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	266	267	268	269	270	271	272	273	274	275	276	277	278	279	280
Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus	0.004337063	0.007891608	0.005174799	0.007906057	0.003227399	0.005313101	0.007250988	0.004101473	0.012230655	0.003533352	0.004479283	0.002057502	0.003238787	0.004065182	0.003517245	0.010136643	0.005768413	0.00457158	0.001986775	0.010184993	0.007524471	0.003478019	0.009929994	0.006345681	0.005247684	0.005450742	0.007782534	0.003964047	0.00395165	0.001055855	0.004262898	0.009676006	0.005173154	0.013088121	0.00684375	0.006241289	0.002484907	0.006729449	0.010258298	0.012362792	0.011431276	0.002177395	0.00542639	0.009039373	0.004582125	0.011086357	0.015165517
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Anaerotruncus	0.000455491	0.000184479	0.000187864	0.000348797	0.000360709	0.000437292	0.000619599	0.000217009	0.000982518	0.000460872	0.000209966	0.000270724	9.81451E-05	0.000279154	0.00041997	0.000616274	0.000834902	0.000417323	0.00035584	0.000808333	0.000927084	0.000811538	0.000715052	0.000277624	0.000324775	0.000422241	0.000722664	2.30468E-05	9.96214E-05	7.03903E-05	0.00015157	0.000399992	0.000566119	0.000422197	0.000640625	0.00037169	0.000332488	0.000895989	0.000560125	0.000338486	0.000291243	0.000125965	0.000346365	0.000955591	0.000170611	0.000353632	0.000396053
Bacteria|Firmicutes|Clostridia|Clostridiales|Oscillospiraceae|Ruminococcus	0.00130706	0.000983889	0.004594128	0.01809092	0.014827049	0.0042636	0.007100275	0.005598837	0.00952026	0.007926998	0.003686077	0.00430451	0.002767691	0.006595017	0.006457032	0.030898697	0.023696035	0.007910162	0.003232215	0.010184993	0.007696951	0.017459655	0.024923017	0.00785278	0.005059656	0.007024548	0.012340875	0.001129292	0.001926014	0.001460599	0.007426915	0.016837775	0.003630969	0.003951768	0.0064375	0.009121883	0.006824744	0.006615068	0.004000896	0.008236489	0.006061489	0.011246873	0.014619503	0.013197484	0.008457433	0.00456185	0.010709924
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Anaerostipes	0	2.04977E-05	6.83142E-05	0	0	0	0	2.17009E-05	3.38799E-05	0	0	0	0	0	0	0	1.518E-05	0	0	0	0	0	0.000138397	0	0	0	0	0	0	3.51952E-05	7.57848E-05	0	0	5.06637E-05	0	1.54871E-05	0	0	0	1.61184E-05	5.4608E-05	1.7995E-05	0	2.58268E-05	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Oscillospiraceae|Ruminococcus|torques	0	0	0	2.32531E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae	0.062956728	0.03619891	0.041159292	0.049691896	0.023389148	0.02440091	0.044393462	0.050649942	0.028120342	0.028328264	0.009985069	0.018084358	0.025576602	0.018022891	0.049066443	0.024077183	0.067854757	0.044179297	0.011535154	0.034550452	0.025289983	0.021215915	0.043410567	0.043269612	0.043143824	0.035736906	0.06167658	0.024383499	0.010194594	0.009625875	0.064511851	0.037465953	0.028598758	0.093829162	0.029375	0.033591451	0.020859218	0.069925271	0.054124124	0.016215084	0.046107359	0.031995105	0.021416923	0.055107891	0.030929343	0.044345428	0.030611571
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptococcaceae|rc4-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.15331E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Veillonellaceae|Veillonella|parvula	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Alcaligenaceae|Sutterella	0.00065353	2.04977E-05	0	0.000209278	0	8.74585E-05	0.007066783	0.000130206	0	0	0.000186637	0	0.000961822	0.000157024	0.000629954	0	0.000850082	0.000739799	0	0.000115476	0.0001078	0.000139121	0.000380592	0.000317284	0.000119654	0.000153542	0.00063928	0.000138281	0	0	0	0.000742843	0.000117128	0.002803391	0.000140625	4.64612E-05	0.000297489	9.5318E-05	0.000112025	1.61184E-05	0.001237781	0	0.002467853	0.000342205	0	0.0006719	0.00014852
Bacteria|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae||	0.010119814	0.004243021	0.00621659	0.001976514	0.00060751	0.021711562	0.002830062	0.010264534	0.004234991	0.012474268	0.002262971	0.00192214	0.004416528	0.005391165	0.00923933	0.006800264	0.003506588	0.001574445	0.004833496	0.004711425	0.0050235	0.011894825	0.008257695	0.001348457	0.028751154	0.034335835	0.004836289	0.006383959	0.006342565	0.003695492	0.021996552	0.015237805	0.002264475	0.008291958	0.01896875	0.019405297	0.015346924	0.010980631	0.004304964	0.01694041	0.024883048	0.010563063	0.000158751	0.003725513	0.012503351	0.012306387	0.028020727
Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|luteciae	0.001782355	0.002193252	0.001554148	0.002604348	0.001063143	0.001377471	0.002109987	0.001019943	0.004201111	0.00076812	0.001493094	0.000351941	0.000863677	0.001378324	0.001032425	0.002911363	0.001426923	0.001251968	0.0004448	0.002632855	0.002048208	0.001136153	0.002987071	0.001784723	0.001401661	0.001305107	0.002167992	0.001129292	0.001560736	0.000316756	0.001231504	0.002952325	0.001659314	0.003546459	0.00175	0.001842961	0.000839969	0.00217325	0.003632814	0.003610516	0.003058048	0.000665815	0.001500916	0.002608505	0.00097492	0.003094278	0.005165187
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Coprococcus|	0.010812952	0.00469397	0.003057059	0.00239507	0.000797357	0.000262375	0.000502378	0.004795903	0.000677599	0.002703782	0.000909854	0.00871731	0.00853862	0.003733687	0.01172415	0.000850033	0.005297832	0.000701861	0.00521899	0.004411187	0.001897288	0.008324059	0.015731141	0.001705402	0.001658063	0.002802142	0.002835066	0.033740493	0.000265657	0.001443001	0.002576685	0.000799985	0.000702768	0.00040531	0.002953125	0.005637293	0.009449646	0.003641147	0.003088692	0.001321707	0.006243515	0.00183549	0.002871946	0.000923307	0.001048039	0.01601952	0.011270999
Bacteria|Firmicutes|Erysipelotrichi|Erysipelotrichales|Erysipelotrichaceae|Eubacterium|biforme	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus|	0.008990989	0.002500717	0.004201322	0.001883502	0.00028477	0.017754067	0.002562127	0.007660424	0.004370511	0.008541494	0.001703061	0.001732633	0.003219158	0.004675832	0.00703449	0.005057696	0.002277005	0.000644953	0.004092163	0.003348807	0.004376698	0.00925153	0.006619996	0.00158642	0.022050528	0.027656757	0.002279171	0.00516248	0.005047486	0.002956393	0.018946212	0.011923582	0.001620271	0.006180971	0.010796875	0.015285736	0.013544492	0.009036145	0.003504785	0.0114924	0.020150354	0.007108024	0.000129887	0.000987874	0.009091131	0.005852606	0.02323509
Bacteria|Firmicutes|Bacilli|Lactobacillales|Aerococcaceae||	5.94118E-05	0.004837453	0.0002391	0.000581328	0.00032274	0	0.000150713	4.34018E-05	0	0.000553046	9.33184E-05	0.000541448	9.81451E-05	0.000331496	0	0.000233759	0.000683102	0.000379384	2.96534E-05	4.61904E-05	0.000431202	0.000139121	0.000138397	0.000237963	8.54672E-05	0.000230313	0.000361332	0.000991012	0.000332071	0	3.78924E-05	9.52363E-05	0.00130793	0.000101327	0.000296875	0.000805328	6.99974E-05	0.0002097	0.000576129	0.000274012	0.000182027	7.198E-05	1.44319E-05	0.000639213	0.000584952	3.53632E-05	4.95066E-05
Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus|ruminis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales|Desulfovibrionaceae	0.003742945	0.001373345	0.006182433	0.006255087	0.002392072	0.002099003	0.005492665	0.004448688	0.005996748	0.005714812	0.001353117	0.006768098	0.00119737	0.002896224	0.002309833	0.007437788	0.012644969	0.002238367	0.002817068	0.002817617	0.002781251	0.011129661	0.002710277	0.003053859	0.002974257	0.005815404	0.003641114	0.000253515	0.0018596	0.002234892	0.002766147	0.006857012	0.004060438	0.00192522	0.004296875	0.005869599	0.003254878	0.004918408	0.001936434	0.005061169	0.004314032	0.007773839	0.010795053	0.003570552	0.005557045	0.000884079	0.003432457
Bacteria|Firmicutes|Clostridia|Clostridiales|Ruminococcaceae|Faecalibacterium|prausnitzii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|p-2534-18B5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Bacilli|Lactobacillales|Carnobacteriaceae|Desemzia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Erysipelotrichi|Erysipelotrichales|Erysipelotrichaceae	0.018358253	0.011314721	0.008488036	0.028764097	0.015187759	0.008505335	0.065744524	0.011501487	0.015042689	0.018865026	0.005972378	0.003140397	0.014819904	0.009718054	0.01406898	0.00463268	0.010216164	0.016294554	0.006227204	0.012887134	0.018218274	0.010526804	0.008719019	0.017291981	0.038323476	0.013991517	0.005447774	0.007858954	0.012950787	0.008904375	0.003542942	0.014685435	0.010033967	0.119093458	0.02334375	0.00834753	0.016414384	0.010465914	0.010082258	0.003336503	0.032054899	0.006118299	0.06150871	0.02131355	0.008335568	0.051966193	0.029192383
Bacteria|Proteobacteria|Gammaproteobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Blautia	9.90197E-05	0	0	0	0	0	5.02378E-05	0	3.38799E-05	0	0	2.70724E-05	0	1.74471E-05	3.49975E-05	0	3.03601E-05	0	0.000148267	0	0	2.31868E-05	2.30662E-05	3.96605E-05	0	7.6771E-05	0	0	0	0	0	3.80945E-05	0	1.68879E-05	0.00003125	3.09741E-05	5.2498E-05	1.90636E-05	8.00179E-05	0	0	0	0	3.87402E-05	0	0	0
Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae|Acinetobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Tenericutes|Mollicutes|Anaeroplasmatales|Anaeroplasmataceae|Anaeroplasma	0	0	6.83142E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000015625	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Macrococcus|caseolyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
