Column1,Ratio,Sample,Column2,Numerator,denominator
47,0.212204916,NXT075Mao163,FVT_ChP,Bacteroidetes,Firmicutes
29,0.102679798,NXT075Mao169,FVT_ChP,Bacteroidetes,Firmicutes
38,0.09976557,NXT075Mao170,FVT_ChP,Bacteroidetes,Firmicutes
23,0.371002091,NXT075Mao177,FVT_ChP,Bacteroidetes,Firmicutes
30,0.024901089,NXT075Mao178,FVT_ChP,Bacteroidetes,Firmicutes
27,0.087120954,NXT075Mao186,FVT_ChP,Bacteroidetes,Firmicutes
42,0.431274811,NXT075Mao187,FVT_ChP,Bacteroidetes,Firmicutes
44,0.26951359,NXT075Mao266,FVT_ChP,Bacteroidetes,Firmicutes
4,0.067146814,NXT075Mao165,FVT_PyT,Bacteroidetes,Firmicutes
46,0.069551809,NXT075Mao171,FVT_PyT,Bacteroidetes,Firmicutes
34,0.095372833,NXT075Mao183,FVT_PyT,Bacteroidetes,Firmicutes
19,0.0719124,NXT075Mao184,FVT_PyT,Bacteroidetes,Firmicutes
15,0.12173799,NXT075Mao191,FVT_PyT,Bacteroidetes,Firmicutes
36,0.067760559,NXT075Mao269,FVT_PyT,Bacteroidetes,Firmicutes
16,0.131328321,NXT075Mao274,FVT_PyT,Bacteroidetes,Firmicutes
11,0.073927585,NXT075Mao280,FVT_PyT,Bacteroidetes,Firmicutes
35,0.041608304,NXT075Mao162,FVT_SDT,Bacteroidetes,Firmicutes
17,0.06428083,NXT075Mao166,FVT_SDT,Bacteroidetes,Firmicutes
28,0.043716425,NXT075Mao168,FVT_SDT,Bacteroidetes,Firmicutes
37,0.051532968,NXT075Mao176,FVT_SDT,Bacteroidetes,Firmicutes
40,0.196096795,NXT075Mao185,FVT_SDT,Bacteroidetes,Firmicutes
45,0.067447014,NXT075Mao189,FVT_SDT,Bacteroidetes,Firmicutes
43,0.672316726,NXT075Mao268,FVT_SDT,Bacteroidetes,Firmicutes
10,0.08073217,NXT075Mao164,FVT_UnT,Bacteroidetes,Firmicutes
33,0.036585366,NXT075Mao179,FVT_UnT,Bacteroidetes,Firmicutes
18,0.093642329,NXT075Mao180,FVT_UnT,Bacteroidetes,Firmicutes
22,0.307969804,NXT075Mao188,FVT_UnT,Bacteroidetes,Firmicutes
26,0.050753496,NXT075Mao267,FVT_UnT,Bacteroidetes,Firmicutes
1,0.143818912,NXT075Mao276,FVT_UnT,Bacteroidetes,Firmicutes
32,0.135114855,NXT075Mao278,FVT_UnT,Bacteroidetes,Firmicutes
31,0.456915613,NXT075Mao279,FVT_UnT,Bacteroidetes,Firmicutes
14,0.048624237,NXT075Mao159,HFD_control,Bacteroidetes,Firmicutes
41,0.131119156,NXT075Mao172,HFD_control,Bacteroidetes,Firmicutes
20,0.076511354,NXT075Mao173,HFD_control,Bacteroidetes,Firmicutes
7,0.41268446,NXT075Mao181,HFD_control,Bacteroidetes,Firmicutes
39,0.094088554,NXT075Mao270,HFD_control,Bacteroidetes,Firmicutes
24,0.069313626,NXT075Mao271,HFD_control,Bacteroidetes,Firmicutes
25,0.138993377,NXT075Mao272,HFD_control,Bacteroidetes,Firmicutes
9,0.281393852,NXT075Mao277,HFD_control,Bacteroidetes,Firmicutes
12,0.056315366,NXT075Mao160,LFD_control,Bacteroidetes,Firmicutes
5,0.017608706,NXT075Mao161,LFD_control,Bacteroidetes,Firmicutes
8,0.127781293,NXT075Mao167,LFD_control,Bacteroidetes,Firmicutes
21,0.134427969,NXT075Mao174,LFD_control,Bacteroidetes,Firmicutes
6,0.256571465,NXT075Mao182,LFD_control,Bacteroidetes,Firmicutes
2,0.197215507,NXT075Mao190,LFD_control,Bacteroidetes,Firmicutes
13,0.017483029,NXT075Mao273,LFD_control,Bacteroidetes,Firmicutes
3,0.444580655,NXT075Mao275,LFD_control,Bacteroidetes,Firmicutes
