"","Sample","tax","Mean"
"1","NXT075Mao171","Firmicutes",0.939738934144666
"2","NXT075Mao189","Firmicutes",0.938496462886707
"3","NXT075Mao266","Firmicutes",0.902822785304338
"4","NXT075Mao169","Firmicutes",0.878872713699141
"5","NXT075Mao172","Firmicutes",0.876945355572615
"6","NXT075Mao170","Firmicutes",0.874925550923169
"7","NXT075Mao279","Firmicutes",0.871472522809251
"8","NXT075Mao187","Firmicutes",0.870914957363448
"9","NXT075Mao268","Firmicutes",0.87009375
"10","NXT075Mao177","Firmicutes",0.864370127283419
"11","NXT075Mao270","Firmicutes",0.860145244553329
"12","NXT075Mao278","Firmicutes",0.857881010992225
"13","NXT075Mao185","Firmicutes",0.848204517974013
"14","NXT075Mao188","Firmicutes",0.846350534635053
"15","NXT075Mao178","Firmicutes",0.844912967410966
"16","NXT075Mao162","Firmicutes",0.839437274735496
"17","NXT075Mao163","Firmicutes",0.826935489995064
"18","NXT075Mao168","Firmicutes",0.825851845024119
"19","NXT075Mao166","Firmicutes",0.823159219634991
"20","NXT075Mao183","Firmicutes",0.821091457126993
"21","NXT075Mao186","Firmicutes",0.815776307743621
"22","NXT075Mao269","Firmicutes",0.815487068297971
"23","NXT075Mao272","Firmicutes",0.815414652882246
"24","NXT075Mao274","Firmicutes",0.809490871361742
"25","NXT075Mao173","Firmicutes",0.800636953820848
"26","NXT075Mao176","Firmicutes",0.799137773999636
"27","NXT075Mao267","Firmicutes",0.793815651703989
"28","NXT075Mao271","Firmicutes",0.788794418179045
"29","NXT075Mao191","Firmicutes",0.786899297156245
"30","NXT075Mao159","Firmicutes",0.779522725022279
"31","NXT075Mao180","Firmicutes",0.772088310120305
"32","NXT075Mao179","Firmicutes",0.746483752511605
"33","NXT075Mao184","Firmicutes",0.740709719325835
"34","NXT075Mao174","Firmicutes",0.720721677965021
"35","NXT075Mao277","Firmicutes",0.711230775190795
"36","NXT075Mao280","Firmicutes",0.710931053830159
"37","NXT075Mao160","Firmicutes",0.703746976591645
"38","NXT075Mao181","Firmicutes",0.694166202930811
"39","NXT075Mao164","Firmicutes",0.69205877208326
"40","NXT075Mao167","Firmicutes",0.68447621628947
"41","NXT075Mao273","Firmicutes",0.636772456923647
"42","NXT075Mao165","Firmicutes",0.628675731797173
"43","NXT075Mao275","Firmicutes",0.602886397581472
"44","NXT075Mao182","Firmicutes",0.590298361147312
"45","NXT075Mao190","Firmicutes",0.574089160872284
"46","NXT075Mao161","Firmicutes",0.571191911601455
"47","NXT075Mao276","Firmicutes",0.476800738912702
