OTU ID	NXT075Mao159	NXT075Mao160	NXT075Mao161	NXT075Mao162	NXT075Mao163	NXT075Mao164	NXT075Mao165	NXT075Mao166	NXT075Mao167	NXT075Mao168	NXT075Mao169	NXT075Mao170	NXT075Mao171	NXT075Mao172	NXT075Mao173	NXT075Mao174	NXT075Mao176	NXT075Mao177	NXT075Mao178	NXT075Mao179	NXT075Mao180	NXT075Mao181	NXT075Mao182	NXT075Mao183	NXT075Mao184	NXT075Mao185	NXT075Mao186	NXT075Mao187	NXT075Mao188	NXT075Mao189	NXT075Mao190	NXT075Mao191	NXT075Mao266	NXT075Mao267	NXT075Mao268	NXT075Mao269	NXT075Mao270	NXT075Mao271	NXT075Mao272	NXT075Mao273	NXT075Mao274	NXT075Mao275	NXT075Mao276	NXT075Mao277	NXT075Mao278	NXT075Mao279	NXT075Mao280	Kingdom	Phylum	Class	Order	Family	Genus	Species
zOTU_10	0.00433706307555203	0.00789160824826795	0.00517479890014175	0.00790605743518196	0.00322739871663439	0.00531310127689348	0.00725098800991359	0.00410147349232873	0.0122306545602385	0.00353335176821212	0.00447928331466965	0.00205750175970545	0.00323878692707822	0.00406518249703399	0.00351724499973752	0.0101366427949083	0.00576841338271905	0.00457158032513231	0.00198677460486908	0.0101849927250052	0.00752447069984046	0.00347801892042293	0.00992999411812195	0.00634568097088919	0.00524768383986872	0.00545074179989636	0.00778253377063761	0.00396404701544135	0.00395165039516504	0.0010558547143913	0.00426289763361816	0.00967600617131102	0.00517315425760356	0.0130881210524538	0.00684375	0.00624128852408239	0.0024849068159944	0.00672944944334299	0.0102582978587204	0.0123627923469963	0.011431275825036	0.00217739468427777	0.00542639015167915	0.00903937292578675	0.00458212483852885	0.0110863568852111	0.0151655170137628	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
zOTU_1013	0.000455490642637885	0.000184479153855614	0.000187863986473793	0.000348796651552145	0.000360709268329726	0.000437292286164072	0.000619599437336727	0.000217009179488292	0.000982517956362651	0.000460871969766799	0.00020996640537514	0.000270723915750717	0.0000981450583963097	0.000279154162886454	0.000419969552207465	0.000616273880612874	0.000834901936972494	0.000417322685281788	0.000355840227737746	0.000808332755952793	0.000927083782501833	0.000811537748098683	0.000715051841258491	0.000277623542476402	0.000324775221359953	0.000422240561963802	0.000722663850130635	0.0000230467849734962	0.0000996214385335724	0.0000703903142927533	0.000151569693639757	0.000399992381097503	0.00056611876781322	0.000422197453304962	0.000640625	0.000371689639151309	0.000332487531717561	0.000895989019368614	0.000560125468104856	0.000338485840009026	0.00029124269617926	0.000125964981735078	0.000346365328830584	0.000955590852154599	0.000170611031221819	0.000353631798571328	0.000396052675005776	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Anaerotruncus	
zOTU_104	0.00130706010496089	0.000983888820563276	0.00459412839649548	0.0180909196605046	0.0148270493981851	0.0042635997900997	0.00710027463326412	0.00559883683079794	0.00952026019785879	0.00792699787998894	0.00368607689436357	0.00430451026043641	0.00276769064677593	0.00659501709819248	0.00645703186518977	0.0308986973245213	0.0236960349748011	0.00791016180738661	0.00323221540195119	0.0101849927250052	0.00769695140356173	0.0174596549805231	0.0249230165961226	0.00785278020147537	0.00505965608013401	0.00702454753085235	0.0123408749791539	0.00112929246370131	0.00192601447831573	0.00146059902157463	0.00742691498834808	0.0168377745185806	0.00363096864873307	0.00395176816293444	0.0064375	0.00912188322750503	0.0068247440720973	0.00661506786640232	0.00400089620074897	0.00823648877355297	0.00606148861423085	0.0112468733692034	0.0146195032543909	0.0131974844716487	0.00845743254771016	0.00456185020157013	0.0107099244199479	Bacteria	Firmicutes	Clostridia	Clostridiales	Oscillospiraceae	Ruminococcus	
zOTU_1046	0	0.0000204976837617349	0.0000683141768995611	0	0	0	0	0.0000217009179488292	0.0000338799295297466	0	0	0	0	0	0	0	0.0000151800352176817	0	0	0	0	0	0.00013839713056616	0	0	0	0	0	0	0.0000351951571463767	0.0000757848468198784	0	0	0.0000506636943965954	0	0.0000154870682979712	0	0	0	0.0000161183733337632	0.0000546080055336112	0.0000179949973907254	0	0.0000258267797879621	0	0	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	
zOTU_1057	0	0	0	0.0000232531101034763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Oscillospiraceae	Ruminococcus	torques
zOTU_112	0.0629567283889494	0.0361989095232239	0.0411592915819856	0.0496918962911289	0.0233891483464328	0.0244009095679552	0.0443934623886396	0.0506499424925674	0.0281203415096897	0.0283282637416659	0.00998506905561777	0.0180843575721479	0.0255766022180783	0.0180228906413567	0.0490664426829055	0.0240771829908409	0.0678547574230372	0.0441792970009674	0.0115351540491653	0.0345504515115823	0.0252899831831314	0.0212159154145799	0.0434105666209187	0.0432696121202507	0.0431438241427644	0.0357369057443909	0.0616765801323031	0.024383498501959	0.0101945938766022	0.00962587547953402	0.0645118508554215	0.0374659530294661	0.0285987584429782	0.0938291620224947	0.029375	0.0335914511382995	0.0208592177793333	0.0699252707030654	0.054124123803732	0.0162150835737657	0.0461073593388791	0.0319951053607097	0.0214169228326911	0.0551078913725642	0.0309293426600697	0.0443454275408445	0.0306115713389881	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
zOTU_1121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0000115330942138466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	rc4-4	
zOTU_1149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	Veillonella	parvula
zOTU_1157	0.000653530052480444	0.0000204976837617349	0	0.000209277990931287	0	0.0000874584572328144	0.00706678277178646	0.000130205507692975	0	0	0.000186636804777902	0	0.000961821572283836	0.00015702421662363	0.000629954328311197	0	0.000850081972190176	0.000739799305726805	0	0.000115476107993256	0.000107800439825794	0.000139120756816917	0.000380592109056939	0.000317284048544459	0.000119654028922088	0.000153542022532292	0.000639279559730947	0.000138280709840977	0	0	0	0.000742842993466791	0.000117128020926873	0.00280339108994495	0.000140625	0.0000464612048939136	0.000297488844168344	0.0000953179807838951	0.000112025093620971	0.0000161183733337632	0.00123778145876185	0	0.00246785296791791	0.000342204832190498	0	0.000671900417285522	0.000148519753127166	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Sutterella	
zOTU_117	0.0101198138429547	0.00424302053867913	0.00621659009786006	0.00197651435879549	0.000607510346660592	0.0217115620080462	0.00283006229486235	0.0102645341897962	0.00423499119121832	0.012474267981688	0.00226297125793206	0.00192213980183009	0.00441652762783394	0.00539116477074464	0.00923933014856423	0.00680026351021102	0.00350658813528447	0.00157444467629038	0.00483349642677105	0.00471142520612485	0.00502350049588202	0.0118948247078464	0.00825769545711419	0.00134845720631395	0.0287511538067075	0.0343358347887838	0.00483628884318194	0.00638395943765845	0.00634256491997078	0.00369549150036955	0.0219965517894697	0.0152378049941906	0.00226447507125288	0.00829195798290945	0.01896875	0.0194052965773579	0.0153469244903316	0.0109806313863047	0.00430496431200589	0.0169404103737851	0.0248830478548155	0.0105630634683558	0.000158750775714018	0.00372551298441354	0.0125033512881133	0.0123063865902822	0.0280207267566586	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae		
