""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"zOTU_1440"	0	NA	NA	NA	NA	NA	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Carnobacteriaceae"	"Desemzia"	"g _Desemzia"
"zOTU_117"	537.012351554146	-0.171020891849828	0.428700462917448	-0.398928638159087	0.689945786886011	0.928900607923383	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"f_Enterococcaceae"	"f_Enterococcaceae"
"zOTU_134"	420.444968077675	-0.0879015814808279	0.49871658020325	-0.176255582770086	0.860093155484614	0.928900607923383	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcus"	"g _Enterococcus"
"zOTU_1556"	0	NA	NA	NA	NA	NA	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Macrococcus"	"g _Macrococcus"
"zOTU_1669"	0	NA	NA	NA	NA	NA	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Macrococcus"	"Macrococcus caseolyticus"
"zOTU_2000"	8.18788999504819	-0.0671335417274924	0.783791531005217	-0.0856522928251001	0.931742827498726	0.956795972317507	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"f_Bacillaceae"	"f_Bacillaceae"
"zOTU_3165"	0.603503437043662	-0.494699259166704	1.81618900493934	-0.272383137339401	0.785327437160069	0.928900607923383	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"o_Bacillales"	"o_Bacillales"	"o_Bacillales"
"zOTU_2282"	0.281525876394856	1.57846548462391	2.22409931459239	0.709709982044211	0.477884000794983	0.7738834157113	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"	"Bacillus firmus"
"zOTU_3477"	6.78955235951068	-4.9972061139738	1.31232944318336	-3.8078899623344	0.000140157610747917	0.00141909580882266	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Planococcaceae"	"Sporosarcina"	"g _Sporosarcina"
"zOTU_2"	13714.0075070705	1.26642461472753	0.253672771897084	4.99235532949247	0.000000596473892728822	0.00000966287706220691	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Lactococcus"	"g _Lactococcus"
"zOTU_10"	380.84061310231	-0.474910968862077	0.401939674703806	-1.18154787583994	0.237385146200705	0.461899037958006	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	"g _Streptococcus"
"zOTU_12"	119.490836230513	-0.325943833362764	0.407184086060145	-0.800482741151674	0.42343115911063	0.724058561797448	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	"Streptococcus luteciae"
"zOTU_18"	5360.83817138079	1.12116309559842	0.368709918286178	3.04077281351629	0.00235971807908299	0.0173761058550656	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"g _Lactobacillus"
"zOTU_23"	138.955953874253	4.21954568791616	0.932217364875068	4.52635388151308	0.0000060010057984908	0.0000810135782796259	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"Lactobacillus reuteri"
"zOTU_838"	0	NA	NA	NA	NA	NA	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"Lactobacillus mucosae"
"zOTU_246"	367.206035732122	-0.843412379917978	1.53396686942631	-0.549824378041104	0.582439836337074	0.886227467713243	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Staphylococcus"	"Staphylococcus sciuri"
"zOTU_494"	97.4132998488418	0.872789260154293	0.531762798195435	1.64131312516812	0.10073243294026	0.291404538148609	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Staphylococcus"	"Staphylococcus aureus"
"zOTU_2246"	13.6110797884491	2.98079267368161	0.716778516777702	4.15859655934144	0.0000320208871990773	0.000370527409017895	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Staphylococcus"	"g _Staphylococcus"
