""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Subfamily"	"Genus"
"vOTU_10176"	21.9953778853005	2.09609174461362	1.28279221709236	1.63400722009736	0.102257334569283	0.429480805190987	"Pararnavirae"	"Artverviricota"	"Revtraviricetes"	"Ortervirales"	"Retroviridae"	"Orthoretrovirinae"	"Betaretrovirus"
"vOTU_104488"	113.470506900555	-0.104533018546879	1.78711196538681	-0.0584927081075491	0.953356170638986	0.967885863618829	"Orthornavirae"	"Kitrinoviricota"	"Magsaviricetes"	"Nodamuvirales"	"Nodaviridae"	"Unclassified_Nodaviridae"	"Unclassified_Nodaviridae"
"vOTU_104944"	18387.4069538499	-0.701202466837139	0.715666898776504	-0.979788876690966	0.327190343909084	0.807166141758136	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"vOTU_10638"	114616.578316894	1.44947989390033	0.760410998431	1.90617954881126	0.0566269146630958	0.297291301981253	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Unclassified_Petitvirales"	"Unclassified_Petitvirales"	"Unclassified_Petitvirales"
"vOTU_10922"	4.46266498255292	-1.96092381402488	2.15239042639812	-0.911044664562253	0.362271840564478	0.807166141758136	"Orthornavirae"	"Duplornaviricota"	"Vidaverviricetes"	"Mindivirales"	"Cystoviridae"	"Unclassified_Cystoviridae"	"Cystovirus"
"vOTU_125083"	19.4484495328456	-0.337215356502537	2.09325675581156	-0.161096031610225	0.872017765740178	0.963809109502302	"Orthornavirae"	"Pisuviricota"	"Stelpaviricetes"	"Stellavirales"	"Astroviridae"	"Unclassified_Astroviridae"	"Mamastrovirus"
"vOTU_126298"	18.5890205103576	-0.419130699644697	2.49317958661146	-0.168110914229948	0.866496023235774	0.963809109502302	"DNAsatellites"	"Unclassified_DNAsatellites"	"Unclassified_DNAsatellites"	"Unclassified_DNAsatellites"	"Unclassified_DNAsatellites"	"Unclassified_DNAsatellites"	"Unclassified_DNAsatellites"
"vOTU_12647"	574077.347320315	-0.622987134660438	0.913704661027218	-0.681825497048526	0.495349299832703	0.826659524232801	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Microviridae"	"Unclassified_Microviridae"	"Unclassified_Microviridae"
"vOTU_137259"	7.07391432828516	2.44593812129588	1.89825738737135	1.28851763600032	0.197565833768624	0.691480418190185	"Orthornavirae"	"Lenarviricota"	"Leviviricetes"	"Unclassified_Leviviricetes"	"Unclassified_Leviviricetes"	"Unclassified_Leviviricetes"	"Unclassified_Leviviricetes"
"vOTU_15717"	2364.22087794145	-1.94562848408219	0.773751869504208	-2.5145380072928	0.0119188454835834	0.125147877577626	"Loabvirae"	"Hofneiviricota"	"Faserviricetes"	"Tubulavirales"	"Unclassified_Tubulavirales"	"Unclassified_Tubulavirales"	"Unclassified_Tubulavirales"
"vOTU_16087"	307.169045891129	-0.449092506993316	1.9893945108209	-0.225743312626315	0.821401068872184	0.963809109502302	"Orthornavirae"	"Pisuviricota"	"Stelpaviricetes"	"Stellavirales"	"Astroviridae"	"Unclassified_Astroviridae"	"Unclassified_Astroviridae"
"vOTU_19722"	6.93276692890065	-6.20335786705832	2.29025308070706	-2.70859055678824	0.00675696695433826	0.125147877577626	"Orthornavirae"	"Pisuviricota"	"Duplopiviricetes"	"Durnavirales"	"Cystoviridae"	"Unclassified_Cystoviridae"	"Pseudomonas_virus_phi6"
"vOTU_21739"	85.1115804751742	2.25443146387976	1.04382586094298	2.15977736156406	0.0307899089804101	0.215529362862871	"Pararnavirae"	"Artverviricota"	"Revtraviricetes"	"Ortervirales"	"Retroviridae"	"Orthoretrovirinae"	"Gammaretrovirus"
"vOTU_39025"	1.29503060486991	0.119478491024859	2.96767428530096	0.0402599744913522	0.967885863618829	0.967885863618829	"Orthornavirae"	"Pisuviricota"	"Duplopiviricetes"	"Durnavirales"	"Picobirnaviridae"	"Unclassified_Picobirnaviridae"	"Orthopicobirnavirus"
"vOTU_43426"	407.037326249077	-1.0460220360384	1.20248711397672	-0.869882116723167	0.384364829408636	0.807166141758136	"Orthornavirae"	"Pisuviricota"	"Stelpaviricetes"	"Stellavirales"	"Astroviridae"	"Unclassified_Astroviridae"	"Murine_astrovirus"
"vOTU_51383"	0	NA	NA	NA	NA	NA	"Orthornavirae"	"Pisuviricota"	"Duplopiviricetes"	"Durnavirales"	"f.0117.base-Cysto"	"Unclassified_f.0117.base-Cysto"	"Unclassified_f.0117.base-Cysto"
"vOTU_69280"	0.134239766902419	-0.847361544719063	1.18317662376216	-0.716175022140565	0.473883284176689	0.826659524232801	"Orthornavirae"	"Pisuviricota"	"Duplopiviricetes"	"Durnavirales"	"Picobirnaviridae"	"Unclassified_Picobirnaviridae"	"Unclassified_Picobirnaviridae"
"vOTU_73800"	1914.69825687128	1.66212218862068	2.5332276008925	0.656128248419165	0.511741610239353	0.826659524232801	"Shotokuvirae"	"Cressdnaviricota"	"Arfiviricetes"	"Cirlivirales"	"Unclassified_Cirlivirales"	"Unclassified_Cirlivirales"	"Unclassified_Cirlivirales"
"vOTU_73988"	3.59680853578581	0.3586827699589	1.94569024810043	0.184347313406685	0.853740999166489	0.963809109502302	"Orthornavirae"	"Pisuviricota"	"Duplopiviricetes"	"Durnavirales"	"Partitiviridae"	"genPartiti.0029"	"Unclassified _genPartiti.0029"
"vOTU_78681"	70068.07296712	-0.153791759514925	0.642580065668927	-0.239334781347174	0.810845997339973	0.963809109502302	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"
"vOTU_787"	10824.1927570002	0.39118429221562	0.685181818993534	0.570920420495442	0.568053587974813	0.852080381962219	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"
"vOTU_81332"	0	NA	NA	NA	NA	NA	"Orthornavirae"	"Pisuviricota"	"Duplopiviricetes"	"Durnavirales"	"Picobirnaviridae"	"Unclassified_Picobirnaviridae"	"Porcine_picobirnavirus"
"vOTU_9329"	89.4747568927198	1.78830342008932	1.52038484987047	1.17621760059084	0.239507932954241	0.718523798862724	"Loebvirae"	"Hofneiviricota"	"Faserviricetes"	"Tubulavirales"	"Inoviridae"	"Unclassified_Inoviridae"	"Inovirus"
