""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Subfamily"	"Genus"
"vOTU_10176"	77.7540319609706	1.46302170329256	1.52570910553148	0.958912611839539	0.337602770725118	0.550132062142588	"Pararnavirae"	"Artverviricota"	"Revtraviricetes"	"Ortervirales"	"Retroviridae"	"Orthoretrovirinae"	"Betaretrovirus"
"vOTU_104488"	177.239809974434	0.858733731150906	1.75033524173849	0.490611004494193	0.623701601681158	0.81860835220652	"Orthornavirae"	"Kitrinoviricota"	"Magsaviricetes"	"Nodamuvirales"	"Nodaviridae"	"Unclassified_Nodaviridae"	"Unclassified_Nodaviridae"
"vOTU_104944"	26547.3701080419	1.48188939495819	1.04214440951283	1.42196166042951	0.155037381301635	0.465112143904906	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"vOTU_10638"	191359.457552017	-0.357919041677637	0.906172739328449	-0.394978822628106	0.692858517057216	0.855884050482444	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Unclassified_Petitvirales"	"Unclassified_Petitvirales"	"Unclassified_Petitvirales"
"vOTU_10922"	5.39412972318271	2.04850982730497	2.10643427368216	0.972501185011611	0.330801275639892	0.550132062142588	"Orthornavirae"	"Duplornaviricota"	"Vidaverviricetes"	"Mindivirales"	"Cystoviridae"	"Unclassified_Cystoviridae"	"Cystovirus"
"vOTU_125083"	12.5799473400968	-7.0422517869796	2.37268883921313	-2.96804691394556	0.00299698584246565	0.0252536009935419	"Orthornavirae"	"Pisuviricota"	"Stelpaviricetes"	"Stellavirales"	"Astroviridae"	"Unclassified_Astroviridae"	"Mamastrovirus"
"vOTU_126298"	87.7102308619466	5.17013758303264	3.00877415482	1.71835349447887	0.0857321574686383	0.300062551140234	"DNAsatellites"	"Unclassified_DNAsatellites"	"Unclassified_DNAsatellites"	"Unclassified_DNAsatellites"	"Unclassified_DNAsatellites"	"Unclassified_DNAsatellites"	"Unclassified_DNAsatellites"
"vOTU_12647"	415886.980950658	-0.957903215044062	1.11118503816629	-0.862055537235114	0.388656957085405	0.550132062142588	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Microviridae"	"Unclassified_Microviridae"	"Unclassified_Microviridae"
"vOTU_137259"	13.9043400410345	0.0239167638869852	2.01289052050816	0.0118818006460418	0.9905199177724	0.9905199177724	"Orthornavirae"	"Lenarviricota"	"Leviviricetes"	"Unclassified_Leviviricetes"	"Unclassified_Leviviricetes"	"Unclassified_Leviviricetes"	"Unclassified_Leviviricetes"
"vOTU_15717"	2552.91338387611	2.07693352579437	1.19629239959483	1.73614203893446	0.0825387227450716	0.300062551140234	"Loabvirae"	"Hofneiviricota"	"Faserviricetes"	"Tubulavirales"	"Unclassified_Tubulavirales"	"Unclassified_Tubulavirales"	"Unclassified_Tubulavirales"
"vOTU_16087"	196.938195898136	-6.29650638404551	2.16332131213635	-2.91057382401854	0.0036076572847917	0.0252536009935419	"Orthornavirae"	"Pisuviricota"	"Stelpaviricetes"	"Stellavirales"	"Astroviridae"	"Unclassified_Astroviridae"	"Unclassified_Astroviridae"
"vOTU_19722"	1.01522916774112	3.78678094364516	3.12564947308383	1.21151811047739	0.225696897990324	0.526626095310756	"Orthornavirae"	"Pisuviricota"	"Duplopiviricetes"	"Durnavirales"	"Cystoviridae"	"Unclassified_Cystoviridae"	"Pseudomonas_virus_phi6"
"vOTU_21739"	153.444401846794	0.059206306987359	1.09665185622774	0.0539882430792729	0.95694453124468	0.9905199177724	"Pararnavirae"	"Artverviricota"	"Revtraviricetes"	"Ortervirales"	"Retroviridae"	"Orthoretrovirinae"	"Gammaretrovirus"
"vOTU_39025"	0.664696776512153	-2.84426878421991	3.21826994780732	-0.883788131619528	0.376810594355463	0.550132062142588	"Orthornavirae"	"Pisuviricota"	"Duplopiviricetes"	"Durnavirales"	"Picobirnaviridae"	"Unclassified_Picobirnaviridae"	"Orthopicobirnavirus"
