""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Subfamily"	"Genus"
"vOTU_10176"	30.2386181202519	-1.55465664170657	1.24945466929005	-1.2442681434693	0.213400891441374	0.433563499049493	"Pararnavirae"	"Artverviricota"	"Revtraviricetes"	"Ortervirales"	"Retroviridae"	"Orthoretrovirinae"	"Betaretrovirus"
"vOTU_104488"	106.307813370574	-0.217154667797199	2.89383599949684	-0.0750404196488524	0.940182552305486	0.940182552305486	"Orthornavirae"	"Kitrinoviricota"	"Magsaviricetes"	"Nodamuvirales"	"Nodaviridae"	"Unclassified_Nodaviridae"	"Unclassified_Nodaviridae"
"vOTU_104944"	9409.46348504943	-2.48596279996969	0.855131802516303	-2.90711068475587	0.0036478409873151	0.072956819746302	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"vOTU_10638"	267921.613549761	1.25390064157911	0.80195841531174	1.5635482060397	0.117923706423425	0.418682677538402	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Unclassified_Petitvirales"	"Unclassified_Petitvirales"	"Unclassified_Petitvirales"
"vOTU_10922"	5.79384846157191	2.5864509610019	1.44095614900486	1.79495466450393	0.0726609233464072	0.363304616732036	"Orthornavirae"	"Duplornaviricota"	"Vidaverviricetes"	"Mindivirales"	"Cystoviridae"	"Unclassified_Cystoviridae"	"Cystovirus"
"vOTU_125083"	15.3927476750527	-0.593600001492809	2.42570477836746	-0.244712384947484	0.806679137762828	0.849135934487187	"Orthornavirae"	"Pisuviricota"	"Stelpaviricetes"	"Stellavirales"	"Astroviridae"	"Unclassified_Astroviridae"	"Mamastrovirus"
"vOTU_126298"	10.7130560561791	-6.25176513723844	3.15079097213811	-1.98418911077304	0.0472347620127261	0.363304616732036	"DNAsatellites"	"Unclassified_DNAsatellites"	"Unclassified_DNAsatellites"	"Unclassified_DNAsatellites"	"Unclassified_DNAsatellites"	"Unclassified_DNAsatellites"	"Unclassified_DNAsatellites"
"vOTU_12647"	486399.725135731	0.395327320789673	1.03638915431168	0.381446794522113	0.702871743896825	0.787531213720365	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Microviridae"	"Unclassified_Microviridae"	"Unclassified_Microviridae"
"vOTU_137259"	15.9170984004702	0.815281091312847	1.49912381582645	0.543838395938892	0.586552684356872	0.782070245809162	"Orthornavirae"	"Lenarviricota"	"Leviviricetes"	"Unclassified_Leviviricetes"	"Unclassified_Leviviricetes"	"Unclassified_Leviviricetes"	"Unclassified_Leviviricetes"
"vOTU_15717"	1543.65618172065	1.34050952766337	0.912514557921421	1.46902810045777	0.141825167569702	0.418682677538402	"Loabvirae"	"Hofneiviricota"	"Faserviricetes"	"Tubulavirales"	"Unclassified_Tubulavirales"	"Unclassified_Tubulavirales"	"Unclassified_Tubulavirales"
