""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"zOTU_1440"	0	NA	NA	NA	NA	NA	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Carnobacteriaceae"	"Desemzia"	"g _Desemzia"
"zOTU_117"	582.889570271593	-0.593712152052319	0.56187130069882	-1.05666929653445	0.290662542316786	0.878584308385486	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"f_Enterococcaceae"	"f_Enterococcaceae"
"zOTU_134"	443.61764739981	-0.447894734560286	0.608047654497593	-0.736611236384696	0.461358799862785	0.878584308385486	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcus"	"g _Enterococcus"
"zOTU_1556"	0	NA	NA	NA	NA	NA	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Macrococcus"	"g _Macrococcus"
"zOTU_1669"	0	NA	NA	NA	NA	NA	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Macrococcus"	"Macrococcus caseolyticus"
"zOTU_2000"	6.98638318204607	0.0470531764586991	0.698649602646175	0.0673487486151607	0.946304069172211	0.98311717998085	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"f_Bacillaceae"	"f_Bacillaceae"
"zOTU_3165"	0.271425103817979	0.661684074758202	2.64292134575804	0.25036086519193	0.802308291099801	0.923183524585633	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"o_Bacillales"	"o_Bacillales"	"o_Bacillales"
"zOTU_2282"	0.28598380436548	1.34814721694831	2.13933220226341	0.630171983351617	0.528582067475964	0.878584308385486	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"	"Bacillus firmus"
"zOTU_3477"	0.60700845410457	-1.35670695758903	2.05779717507709	-0.659300622053875	0.509702743041157	0.878584308385486	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Planococcaceae"	"Sporosarcina"	"g _Sporosarcina"
"zOTU_2"	19546.1272045101	-0.288665052421515	0.206642973937836	-1.396926529466	0.162435665866726	0.823007373724744	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Lactococcus"	"g _Lactococcus"
"zOTU_10"	283.869528495848	0.0936887926211727	0.397913048701465	0.23545041542848	0.813859159832071	0.923183524585633	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	"g _Streptococcus"
"zOTU_12"	85.6232402957286	0.405032010248483	0.413753914152653	0.978920069138119	0.327619475107861	0.878584308385486	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	"Streptococcus luteciae"
"zOTU_18"	7796.1904760294	-0.410851439382687	0.695838829675653	-0.590440518495059	0.554895352664517	0.878584308385486	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"g _Lactobacillus"
"zOTU_23"	166.168077471527	1.57417093267017	1.07019044726724	1.47092598022142	0.141311135734256	0.767117593985963	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"Lactobacillus reuteri"
"zOTU_838"	0	NA	NA	NA	NA	NA	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"Lactobacillus mucosae"
"zOTU_246"	400.839984279349	-1.15025791232419	1.51973642180204	-0.756879874577373	0.449121833654272	0.878584308385486	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Staphylococcus"	"Staphylococcus sciuri"
"zOTU_494"	82.1507752495196	1.57402622409116	0.748999865005399	2.10150401573144	0.0355967458517639	0.541070536946812	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Staphylococcus"	"Staphylococcus aureus"
"zOTU_2246"	24.9833936270022	-0.359032903981443	0.881811918205077	-0.407153607894359	0.68389517242854	0.922609225816572	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Staphylococcus"	"g _Staphylococcus"
"zOTU_1729"	1.67777560040172	2.32965797165093	1.40357824808953	1.65979914181622	0.0969548664608481	0.767117593985963	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Staphylococcus"	"Staphylococcus equorum"
"zOTU_4599"	0	NA	NA	NA	NA	NA	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Planococcaceae"	"f_Planococcaceae"	"f_Planococcaceae"
"zOTU_4486"	0.0224590846479	-0.123068395741148	3.07683937910761	-0.0399983166416839	0.968094468345924	0.98311717998085	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Leuconostocaceae"	"Weissella"	"g _Weissella"
"zOTU_3692"	0	NA	NA	NA	NA	NA	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"	"Bacillus anthracis"
"zOTU_3751"	0	NA	NA	NA	NA	NA	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"	"Bacillus cereus"
"zOTU_1204"	0	NA	NA	NA	NA	NA	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"Lactobacillus ruminis"
"zOTU_4490"	0.122663163061194	-0.477293846632484	3.0764761489447	-0.155143034928519	0.876708555924376	0.954379454203779	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"	"g _Bacillus"
"zOTU_266"	0	NA	NA	NA	NA	NA	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	"Lactobacillus zeae"
"zOTU_2117"	0	NA	NA	NA	NA	NA	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Aerococcaceae"	"Facklamia"	"g _Facklamia"
