Column1,vOTU,VOG,COPSAC,Neri,Josue,RefSeq,Column3,Column2
6198,vOTU_133184,Unknown,Unknown,Unknown,Unknown,Achromobacter phage JWAlpha,,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Schitoviridae; Rothmandenesvirinae; Jwalphavirus; Jwalphavirus jwalpha
720,vOTU_125088,Unknown,Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales;Vincentviridae;Unclassified,Unknown,Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Herelleviridae;Spounavirinae;Unclassified,Achromobacter phage JWF,,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes
4685,vOTU_111415,Unknown,Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;VOC2;Liamviridae;Unclassified,Unknown,Viruses;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified;Unclassified,Achromobacter phage Mano,,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Manovirus; Manovirus Mano
853,vOTU_119960,Unknown,Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;VOC3;Lauridsviridae;Unclassified,Unknown,Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;Imitervirales;Mimiviridae;Unclassified,Achromobacter phage vB_AchrS_AchV4,,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Casjensviridae; Gediminasvirus; Gediminasvirus AchV4
1653,vOTU_80184,Unknown,Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;VOC3;Ingridviridae;Unclassified,Unknown,Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Unclassified;Unclassified,Achromobacter phage vB_AchrS_AchV4,,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Casjensviridae; Gediminasvirus; Gediminasvirus AchV4
1654,vOTU_94814,Unknown,Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;VOC3;Ingridviridae;Unclassified,Unknown,Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Unclassified;Unclassified,Achromobacter phage vB_AchrS_AchV4,,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Casjensviridae; Gediminasvirus; Gediminasvirus AchV4
1787,vOTU_42139,Unknown,Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;VOC3;Ingridviridae;Unclassified,Unknown,Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Unclassified;Unclassified,Achromobacter phage vB_AchrS_AchV4,,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Casjensviridae; Gediminasvirus; Gediminasvirus AchV4
1793,vOTU_68434,Unknown,Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;VOC3;Ingridviridae;Unclassified,Unknown,Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Unclassified;Unclassified,Achromobacter phage vB_AchrS_AchV4,,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Casjensviridae; Gediminasvirus; Gediminasvirus AchV4
3337,vOTU_120292,Unknown,Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;VOC3;Nikolineviridae;Unclassified,Unknown,Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Unclassified;Unclassified,Achromobacter phage vB_AchrS_AchV4,,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Casjensviridae; Gediminasvirus; Gediminasvirus AchV4
3339,vOTU_32976,Unknown,Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;VOC3;Nikolineviridae;Unclassified,Unknown,Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Unclassified;Unclassified,Achromobacter phage vB_AchrS_AchV4,,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Casjensviridae; Gediminasvirus; Gediminasvirus AchV4
632,vOTU_43868,Unknown,Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;VOC3;Floraviridae;Unclassified,Unknown,Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Unclassified;Unclassified;Unclassified,Acidovorax phage ACP17,,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Busanvirus; Busanvirus ACP17
