OTU_ID,Filtered because
vOTU_365,sample was not significant in 181 samples (1) > 0.99
vOTU_1115,sample was not significant in 181 samples (1) > 0.99
vOTU_20468,sample was not significant in 181 samples (1) > 0.99
vOTU_98265,sample was not significant in 181 samples (1) > 0.99
vOTU_71039,sample was not significant in 181 samples (1) > 0.99
vOTU_3970,sample was not significant in 181 samples (1) > 0.99
vOTU_35365,sample was not significant in 181 samples (1) > 0.99
vOTU_23300,sample was not significant in 181 samples (1) > 0.99
vOTU_48382,sample was not significant in 181 samples (1) > 0.99
vOTU_21748,sample was not significant in 181 samples (1) > 0.99
vOTU_57269,sample was not significant in 181 samples (1) > 0.99
vOTU_2587,sample was not significant in 181 samples (1) > 0.99
vOTU_32394,sample was not significant in 181 samples (1) > 0.99
vOTU_118124,sample was not significant in 181 samples (1) > 0.99
vOTU_98575,sample was not significant in 181 samples (1) > 0.99
vOTU_38745,sample was not significant in 181 samples (1) > 0.99
vOTU_4120,sample was not significant in 181 samples (1) > 0.99
vOTU_958,sample was not significant in 181 samples (1) > 0.99
vOTU_10133,sample was not significant in 181 samples (1) > 0.99
vOTU_40545,sample was not significant in 181 samples (1) > 0.99
vOTU_510,sample was not significant in 181 samples (1) > 0.99
vOTU_4141,sample was not significant in 181 samples (1) > 0.99
vOTU_67222,sample was not significant in 181 samples (1) > 0.99
vOTU_8581,sample was not significant in 181 samples (1) > 0.99
vOTU_7007,sample was not significant in 181 samples (1) > 0.99
vOTU_20134,sample was not significant in 181 samples (1) > 0.99
vOTU_13996,sample was not significant in 181 samples (1) > 0.99
vOTU_75334,sample was not significant in 181 samples (1) > 0.99
vOTU_25572,sample was not significant in 181 samples (1) > 0.99
vOTU_107925,sample was not significant in 181 samples (1) > 0.99
vOTU_3209,sample was not significant in 181 samples (1) > 0.99
vOTU_756,sample was not significant in 181 samples (1) > 0.99
vOTU_86003,sample was not significant in 181 samples (1) > 0.99
vOTU_131,sample was not significant in 181 samples (1) > 0.99
vOTU_80761,sample was not significant in 181 samples (1) > 0.99
vOTU_116687,sample was not significant in 181 samples (1) > 0.99
vOTU_1423,sample was not significant in 181 samples (1) > 0.99
vOTU_12890,sample was not significant in 181 samples (1) > 0.99
vOTU_1852,sample was not significant in 181 samples (1) > 0.99
vOTU_442,sample was not significant in 181 samples (1) > 0.99
vOTU_13658,sample was not significant in 181 samples (1) > 0.99
vOTU_8058,sample was not significant in 181 samples (1) > 0.99
vOTU_82751,sample was not significant in 181 samples (1) > 0.99
vOTU_66957,sample was not significant in 180 samples (0.994475138121547) > 0.99
vOTU_53026,sample was not significant in 181 samples (1) > 0.99
vOTU_35455,sample was not significant in 181 samples (1) > 0.99
vOTU_43960,sample was not significant in 181 samples (1) > 0.99
vOTU_4082,sample was not significant in 181 samples (1) > 0.99
vOTU_17413,sample was not significant in 180 samples (0.994475138121547) > 0.99
vOTU_18556,sample was not significant in 181 samples (1) > 0.99
vOTU_35914,sample was not significant in 181 samples (1) > 0.99
vOTU_57218,sample was not significant in 181 samples (1) > 0.99
vOTU_35706,sample was not significant in 181 samples (1) > 0.99
vOTU_1790,sample was not significant in 181 samples (1) > 0.99
vOTU_22786,sample was not significant in 181 samples (1) > 0.99
vOTU_22200,sample was not significant in 181 samples (1) > 0.99
vOTU_67986,sample was not significant in 181 samples (1) > 0.99
vOTU_1417,sample was not significant in 181 samples (1) > 0.99
vOTU_117169,sample was not significant in 181 samples (1) > 0.99
vOTU_8837,sample was not significant in 181 samples (1) > 0.99
vOTU_35855,sample was not significant in 181 samples (1) > 0.99
vOTU_143692,sample was not significant in 181 samples (1) > 0.99
vOTU_37942,sample was not significant in 181 samples (1) > 0.99
vOTU_2233,sample was not significant in 181 samples (1) > 0.99
vOTU_30436,sample was not significant in 181 samples (1) > 0.99
vOTU_23874,sample was not significant in 181 samples (1) > 0.99
vOTU_94848,sample was not significant in 181 samples (1) > 0.99
vOTU_966,sample was not significant in 181 samples (1) > 0.99
vOTU_76530,sample was not significant in 181 samples (1) > 0.99
vOTU_209,sample was not significant in 181 samples (1) > 0.99
vOTU_143651,sample was not significant in 181 samples (1) > 0.99
vOTU_2317,sample was not significant in 181 samples (1) > 0.99
vOTU_6051,sample was not significant in 181 samples (1) > 0.99
vOTU_96846,sample was not significant in 181 samples (1) > 0.99
vOTU_62806,sample was not significant in 181 samples (1) > 0.99
vOTU_1977,sample was not significant in 181 samples (1) > 0.99
vOTU_15652,sample was not significant in 181 samples (1) > 0.99
vOTU_10942,sample was not significant in 181 samples (1) > 0.99
vOTU_16576,sample was not significant in 181 samples (1) > 0.99
vOTU_70720,sample was not significant in 181 samples (1) > 0.99
vOTU_97344,sample was not significant in 180 samples (0.994475138121547) > 0.99
vOTU_22319,sample was not significant in 181 samples (1) > 0.99
vOTU_39589,sample was not significant in 181 samples (1) > 0.99
vOTU_126315,sample was not significant in 180 samples (0.994475138121547) > 0.99
vOTU_70451,sample was not significant in 181 samples (1) > 0.99
vOTU_74102,sample was not significant in 181 samples (1) > 0.99
vOTU_53930,sample was not significant in 181 samples (1) > 0.99
vOTU_1940,sample was not significant in 181 samples (1) > 0.99
vOTU_106168,sample was not significant in 181 samples (1) > 0.99
vOTU_4479,sample was not significant in 181 samples (1) > 0.99
vOTU_10570,sample was not significant in 181 samples (1) > 0.99
vOTU_11977,sample was not significant in 181 samples (1) > 0.99
vOTU_954,sample was not significant in 181 samples (1) > 0.99
vOTU_99502,sample was not significant in 181 samples (1) > 0.99
vOTU_79525,sample was not significant in 181 samples (1) > 0.99
vOTU_13860,sample was not significant in 181 samples (1) > 0.99
vOTU_50878,sample was not significant in 181 samples (1) > 0.99
vOTU_135153,sample was not significant in 181 samples (1) > 0.99
vOTU_45134,sample was not significant in 181 samples (1) > 0.99
vOTU_12399,sample was not significant in 181 samples (1) > 0.99
vOTU_108928,sample was not significant in 181 samples (1) > 0.99
vOTU_2043,sample was not significant in 181 samples (1) > 0.99
vOTU_23175,sample was not significant in 181 samples (1) > 0.99
vOTU_27955,sample was not significant in 180 samples (0.994475138121547) > 0.99
vOTU_8912,sample was not significant in 181 samples (1) > 0.99
vOTU_6559,sample was not significant in 181 samples (1) > 0.99
vOTU_26640,sample was not significant in 181 samples (1) > 0.99
vOTU_57061,sample was not significant in 181 samples (1) > 0.99
vOTU_12892,sample was not significant in 181 samples (1) > 0.99
vOTU_69,sample was not significant in 181 samples (1) > 0.99
vOTU_103520,sample was not significant in 181 samples (1) > 0.99
vOTU_1628,sample was not significant in 181 samples (1) > 0.99
vOTU_872,sample was not significant in 181 samples (1) > 0.99
vOTU_55710,sample was not significant in 181 samples (1) > 0.99
vOTU_22101,sample was not significant in 180 samples (0.994475138121547) > 0.99
vOTU_57048,sample was not significant in 181 samples (1) > 0.99
vOTU_16097,sample was not significant in 181 samples (1) > 0.99
vOTU_72302,sample was not significant in 181 samples (1) > 0.99
vOTU_1070,sample was not significant in 181 samples (1) > 0.99
vOTU_1082,sample was not significant in 181 samples (1) > 0.99
vOTU_12616,sample was not significant in 180 samples (0.994475138121547) > 0.99
vOTU_58916,sample was not significant in 181 samples (1) > 0.99
vOTU_58824,sample was not significant in 181 samples (1) > 0.99
vOTU_4972,sample was not significant in 181 samples (1) > 0.99
vOTU_6924,sample was not significant in 181 samples (1) > 0.99
vOTU_3449,sample was not significant in 181 samples (1) > 0.99
vOTU_44117,sample was not significant in 180 samples (0.994475138121547) > 0.99
vOTU_42201,sample was not significant in 181 samples (1) > 0.99
vOTU_9087,sample was not significant in 181 samples (1) > 0.99
vOTU_20755,sample was not significant in 181 samples (1) > 0.99
vOTU_112984,sample was not significant in 181 samples (1) > 0.99
vOTU_28487,sample was not significant in 181 samples (1) > 0.99
vOTU_137376,sample was not significant in 181 samples (1) > 0.99
vOTU_44409,sample was not significant in 181 samples (1) > 0.99
vOTU_114218,sample was not significant in 181 samples (1) > 0.99
vOTU_42674,sample was not significant in 181 samples (1) > 0.99
vOTU_1120,sample was not significant in 181 samples (1) > 0.99
vOTU_47494,sample was not significant in 181 samples (1) > 0.99
vOTU_49913,sample was not significant in 180 samples (0.994475138121547) > 0.99
vOTU_5103,sample was not significant in 181 samples (1) > 0.99
vOTU_2853,sample was not significant in 181 samples (1) > 0.99
vOTU_4704,sample was not significant in 181 samples (1) > 0.99
vOTU_1141,sample was not significant in 181 samples (1) > 0.99
vOTU_81530,sample was not significant in 181 samples (1) > 0.99
vOTU_110671,sample was not significant in 181 samples (1) > 0.99
vOTU_13091,sample was not significant in 181 samples (1) > 0.99
vOTU_116234,sample was not significant in 181 samples (1) > 0.99
vOTU_18751,sample was not significant in 181 samples (1) > 0.99
vOTU_1740,sample was not significant in 181 samples (1) > 0.99
vOTU_12246,sample was not significant in 181 samples (1) > 0.99
vOTU_11547,sample was not significant in 181 samples (1) > 0.99
vOTU_52913,sample was not significant in 181 samples (1) > 0.99
vOTU_44066,sample was not significant in 181 samples (1) > 0.99
vOTU_8515,sample was not significant in 181 samples (1) > 0.99
vOTU_96619,sample was not significant in 181 samples (1) > 0.99
vOTU_23692,sample was not significant in 181 samples (1) > 0.99
vOTU_47072,sample was not significant in 181 samples (1) > 0.99
vOTU_17689,sample was not significant in 181 samples (1) > 0.99
vOTU_33796,sample was not significant in 181 samples (1) > 0.99
