Column1,Domain,Realm,Kingdom,Phylum,Class,Order,Family,Subfamily,Genus
vOTU_76976,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,Unclassified_Phycodnaviridae,Unclassified_Phycodnaviridae
vOTU_65141,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,Unclassified_Phycodnaviridae,Prasinovirus
vOTU_110821,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,Unclassified_Phycodnaviridae,Chlorovirus
vOTU_85687,Viruses,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Algavirales,Phycodnaviridae,Unclassified_Phycodnaviridae,Chlorovirus
vOTU_43033,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Baphyvirales,Bacilladnaviridae,Unclassified_Bacilladnaviridae,Unclassified_Bacilladnaviridae
vOTU_128240,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Cirlivirales,Unclassified_Cirlivirales,Unclassified_Cirlivirales,Unclassified_Cirlivirales
vOTU_73800,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Cirlivirales,Unclassified_Cirlivirales,Unclassified_Cirlivirales,Unclassified_Cirlivirales
vOTU_127084,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Unclassified_Circoviridae,Unclassified_Circoviridae
vOTU_102251,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Unclassified_Circoviridae,Unclassified_Circoviridae
vOTU_103024,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Unclassified_Circoviridae,Unclassified_Circoviridae
vOTU_111814,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Unclassified_Circoviridae,Unclassified_Circoviridae
vOTU_34583,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Unclassified_Circoviridae,Unclassified_Circoviridae
vOTU_38188,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Unclassified_Circoviridae,Unclassified_Circoviridae
vOTU_107517,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Unclassified_Circoviridae,Unclassified_Circoviridae
vOTU_45303,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Unclassified_Circoviridae,Unclassified_Circoviridae
vOTU_86511,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Unclassified_Circoviridae,Unclassified_Circoviridae
vOTU_63967,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Crassvirales,Intestiviridae,Unclassified_Intestiviridae,Unclassified_Intestiviridae
vOTU_61955,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Crassvirales,Unclassified_Crassvirales,Unclassified_Crassvirales,Unclassified_Crassvirales
vOTU_143258,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Crassvirales,Unclassified_Crassvirales,Unclassified_Crassvirales,Unclassified_Crassvirales
vOTU_44178,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Crassvirales,Unclassified_Crassvirales,Unclassified_Crassvirales,Unclassified_Crassvirales
vOTU_10717,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Crassvirales,Unclassified_Crassvirales,Unclassified_Crassvirales,Unclassified_Crassvirales
vOTU_138823,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Crassvirales,Unclassified_Crassvirales,Unclassified_Crassvirales,Unclassified_Crassvirales
vOTU_25972,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Crassvirales,Unclassified_Crassvirales,Unclassified_Crassvirales,Unclassified_Crassvirales
vOTU_30998,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Crassvirales,Unclassified_Crassvirales,Unclassified_Crassvirales,Unclassified_Crassvirales
vOTU_5960,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Crassvirales,Unclassified_Crassvirales,Unclassified_Crassvirales,Unclassified_Crassvirales
vOTU_62285,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Crassvirales,Unclassified_Crassvirales,Unclassified_Crassvirales,Unclassified_Crassvirales
vOTU_72665,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Crassvirales,Unclassified_Crassvirales,Unclassified_Crassvirales,Unclassified_Crassvirales
vOTU_89294,Viruses,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,Crassvirales,Unclassified_Crassvirales,Unclassified_Crassvirales,Unclassified_Crassvirales
