""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Subfamily"	"Genus"
"vOTU_10015"	4019.64690371207	-3.17656772870712	1.37238710627633	-2.31462953431997	0.0206332151238361	0.116096223763451	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Microviridae"	"Unclassified_Microviridae"	"Unclassified_Microviridae"
"vOTU_100312"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"
"vOTU_100416"	45.7791695222154	-8.88458742199455	2.46200029801966	-3.60868657454711	0.000307751147547339	0.0072150546813876	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"
"vOTU_10110"	4.8923443417213	-2.00266903269006	1.75474557068559	-1.141287412914	0.253750338394967	0.535413214013381	"Loabvirae"	"Hofneiviricota"	"Faserviricetes"	"Tubulavirales"	"Unclassified_Tubulavirales"	"Unclassified_Tubulavirales"	"Unclassified_Tubulavirales"
"vOTU_10114"	8.79800909949203	-1.91190467152807	1.4877700989887	-1.28508072102516	0.198764077786558	0.484846478762587	"Loabvirae"	"Hofneiviricota"	"Faserviricetes"	"Tubulavirales"	"Unclassified_Tubulavirales"	"Unclassified_Tubulavirales"	"Unclassified_Tubulavirales"
"vOTU_10115"	9.47655437946645	-2.46308004312772	1.37117066293773	-1.79633368019308	0.0724414644221722	0.285703719496791	"Loabvirae"	"Hofneiviricota"	"Faserviricetes"	"Tubulavirales"	"Unclassified_Tubulavirales"	"Unclassified_Tubulavirales"	"Unclassified_Tubulavirales"
"vOTU_10124"	36641.5391110761	-7.63278895720322	1.19082643982606	-6.40965694238204	0.000000000145847442652195	0.0000000307738103996133	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Microviridae"	"Unclassified_Microviridae"	"Unclassified_Microviridae"
"vOTU_10176"	7.86007363302801	1.32722292930521	1.45934918095962	0.909462208648707	0.363106197478214	0.656146349270388	"Pararnavirae"	"Artverviricota"	"Revtraviricetes"	"Ortervirales"	"Retroviridae"	"Orthoretrovirinae"	"Betaretrovirus"
"vOTU_10210"	1958.61399864953	-3.28202131967466	1.27792424245461	-2.56824404032795	0.0102215167887577	0.0756750892079958	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Microviridae"	"Unclassified_Microviridae"	"Unclassified_Microviridae"
"vOTU_10234"	0.725929299078862	3.02908110991554	2.32463801989696	1.30303345466655	0.192563340338351	0.475539541429126	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"
"vOTU_10259"	13.8339858308919	4.664221311715	1.7656298063934	2.64167567562901	0.0082497011365956	0.0669494976854489	"Orthornavirae"	"Pisuviricota"	"Stelpaviricetes"	"Stellavirales"	"Astroviridae"	"Unclassified_Astroviridae"	"Unclassified_Astroviridae"
"vOTU_10262"	1591.52347192532	-3.50140374564177	1.23774040786174	-2.82886760697311	0.00467130188552684	0.0484384369419553	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Microviridae"	"Unclassified_Microviridae"	"Unclassified_Microviridae"
"vOTU_102746"	46.6405660471622	-9.0267056766566	2.61795082743626	-3.44800428719144	0.000564745073148064	0.011348686708023	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"
"vOTU_102827"	30.1316159271216	-0.637964882555534	1.62442461936968	-0.392732832874131	0.694516818013087	0.853132948399693	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"
"vOTU_10306"	1.67991694093473	2.25504236142431	2.49206278580438	0.904889866447095	0.365523736046413	0.656146349270388	"Orthornavirae"	"Pisuviricota"	"Stelpaviricetes"	"Stellavirales"	"Astroviridae"	"Unclassified_Astroviridae"	"Unclassified_Astroviridae"
"vOTU_103361"	0	0	0	0	1	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"
"vOTU_103372"	23.8226929034759	4.51362673845701	2.11949992618843	2.12957154783865	0.0332070021196752	0.173004381413616	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"
"vOTU_103376"	24.8769598503319	0.426748318191401	2.11274061922453	0.201988031236904	0.839926081024644	0.91826115593886	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"
"vOTU_104276"	7.22044075758779	-6.22098132069072	2.65746207045594	-2.3409483017093	0.0192348303785643	0.112737478052141	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"
"vOTU_10443"	0.555920862368749	2.62423247857552	2.72707248657405	0.962289228282406	0.335904338334381	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"
"vOTU_104488"	118.188932682385	0.43993971465427	2.13275957290153	0.206277219544137	0.836574372049339	0.917862111119013	"Orthornavirae"	"Kitrinoviricota"	"Magsaviricetes"	"Nodamuvirales"	"Nodaviridae"	"Unclassified_Nodaviridae"	"Unclassified_Nodaviridae"
"vOTU_104668"	11.1574441841029	1.01657041862689	1.47917532849977	0.687254850077802	0.4919221452491	0.74279257413908	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"
"vOTU_10472"	4.40092982803204	1.71973646084748	2.04266415907758	0.841908569847366	0.399839133023696	0.679471885393365	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Microviridae"	"Unclassified_Microviridae"	"Unclassified_Microviridae"
"vOTU_104944"	4873.53025082252	1.55983519444046	2.13598022761676	0.73026668237508	0.465227189582832	0.729239798194216	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"vOTU_10525"	9.13386199061027	-0.646925546418375	1.98305082622539	-0.326227415789315	0.74425230023374	0.870012384206754	"Orthornavirae"	"Pisuviricota"	"Stelpaviricetes"	"Stellavirales"	"Astroviridae"	"Unclassified_Astroviridae"	"Unclassified_Astroviridae"
"vOTU_1056"	126.545829771228	0.608962802155036	0.714041690687171	0.852839281091543	0.393748437202105	0.678211593874646	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"
"vOTU_10565"	3000.74686229307	0.50213431954172	0.625509301157586	0.802760756095002	0.422113028826596	0.684627471026377	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Unclassified_Petitvirales"	"Unclassified_Petitvirales"	"Unclassified_Petitvirales"
"vOTU_10576"	6.76808893588021	0.691570894097916	1.45232116677542	0.476183167965118	0.633943889987399	0.825692350539144	"Orthornavirae"	"Pisuviricota"	"Stelpaviricetes"	"Stellavirales"	"Astroviridae"	"Unclassified_Astroviridae"	"Unclassified_Astroviridae"
"vOTU_10584"	0.501859164207988	-1.28042844371529	2.88352264370297	-0.444050074138132	0.657006381193729	NA	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Unclassified_Petitvirales"	"Unclassified_Petitvirales"	"Unclassified_Petitvirales"
"vOTU_10589"	0.427307536201687	-1.64853148907063	3.02937392741829	-0.544182239818626	0.586316072101683	NA	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Unclassified_Petitvirales"	"Unclassified_Petitvirales"	"Unclassified_Petitvirales"
"vOTU_10615"	0.376756359966493	0.0240462593784755	2.48563617466229	0.00967408650694526	0.992281316132391	NA	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Unclassified_Petitvirales"	"Unclassified_Petitvirales"	"Unclassified_Petitvirales"
"vOTU_10616"	0.241914131339883	1.59921247841333	3.05108076272619	0.524146229739394	0.600176836408287	NA	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Unclassified_Petitvirales"	"Unclassified_Petitvirales"	"Unclassified_Petitvirales"
"vOTU_106199"	1719.55073046834	1.43803030265584	2.43786953221292	0.589871723508721	0.55527665270727	0.787294970599443	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
