""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Subfamily"	"Genus"
"vOTU_10015"	738.483430681961	-3.06040744587952	1.43241970689589	-2.13652983908713	0.0326362514884283	0.289415815086062	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Microviridae"	"Unclassified_Microviridae"	"Unclassified_Microviridae"
"vOTU_100312"	0.183389291498557	-1.38788930987256	3.04547203244314	-0.455722231262509	0.648589733462899	0.96257536563514	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"
"vOTU_100416"	0.335063037900813	-1.30937691086782	3.04651570042384	-0.429794900018292	0.66734484307462	0.96257536563514	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"
"vOTU_10110"	1.45977718777074	0.620643376359352	1.63660281784574	0.379226633115727	0.704519575695827	0.980197261240407	"Loabvirae"	"Hofneiviricota"	"Faserviricetes"	"Tubulavirales"	"Unclassified_Tubulavirales"	"Unclassified_Tubulavirales"	"Unclassified_Tubulavirales"
"vOTU_10114"	2.50932233281876	1.05345261792438	1.54092076454465	0.683651386991128	0.494195327501873	0.948048179289307	"Loabvirae"	"Hofneiviricota"	"Faserviricetes"	"Tubulavirales"	"Unclassified_Tubulavirales"	"Unclassified_Tubulavirales"	"Unclassified_Tubulavirales"
"vOTU_10115"	2.78653271998288	-0.160844626940494	1.53034034404367	-0.105103827110438	0.916293422531822	0.99725567379542	"Loabvirae"	"Hofneiviricota"	"Faserviricetes"	"Tubulavirales"	"Unclassified_Tubulavirales"	"Unclassified_Tubulavirales"	"Unclassified_Tubulavirales"
"vOTU_10124"	2021.60948151291	-4.61518422967459	1.23690392533683	-3.73123905190761	0.000190540310291368	0.00688876506438023	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Microviridae"	"Unclassified_Microviridae"	"Unclassified_Microviridae"
"vOTU_10176"	5.39129951531081	3.46939323492503	1.59058016807667	2.18121243088314	0.0291677078062597	0.263631205171962	"Pararnavirae"	"Artverviricota"	"Revtraviricetes"	"Ortervirales"	"Retroviridae"	"Orthoretrovirinae"	"Betaretrovirus"
"vOTU_10210"	1084.87434323701	-4.1816640152475	1.39011315855764	-3.00814648757539	0.00262846406925622	0.0431002311221811	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Microviridae"	"Unclassified_Microviridae"	"Unclassified_Microviridae"
"vOTU_10234"	0.861889310916769	1.36838817908176	1.65108170523359	0.828782836575715	0.407227301981543	0.901462832823777	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"
