""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Subfamily"	"Genus"
"vOTU_10015"	351.992499020637	-1.90941583125475	1.59326128568076	-1.19843232771385	0.230748753423609	0.614465781588713	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Microviridae"	"Unclassified_Microviridae"	"Unclassified_Microviridae"
"vOTU_100312"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"
"vOTU_100416"	0.130660963214934	-1.04646029882815	3.05908390861148	-0.342082901316409	0.732288504853711	0.921287071886341	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"
"vOTU_10110"	1.0014899342971	2.9617148818547	2.32952987273754	1.27137879471546	0.203593922797626	0.599516042740934	"Loabvirae"	"Hofneiviricota"	"Faserviricetes"	"Tubulavirales"	"Unclassified_Tubulavirales"	"Unclassified_Tubulavirales"	"Unclassified_Tubulavirales"
"vOTU_10114"	2.4155829783288	1.37810938775199	1.98781615802333	0.693278089218457	0.488135050628472	0.816988596600952	"Loabvirae"	"Hofneiviricota"	"Faserviricetes"	"Tubulavirales"	"Unclassified_Tubulavirales"	"Unclassified_Tubulavirales"	"Unclassified_Tubulavirales"
"vOTU_10115"	2.08425193917922	0.958561244339161	1.56313578922564	0.613229670094125	0.539724489044368	0.842348776068412	"Loabvirae"	"Hofneiviricota"	"Faserviricetes"	"Tubulavirales"	"Unclassified_Tubulavirales"	"Unclassified_Tubulavirales"	"Unclassified_Tubulavirales"
"vOTU_10124"	484.064489430156	-2.59701495275505	1.10112469182381	-2.35851123132438	0.018348404550125	0.149441678031087	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Microviridae"	"Unclassified_Microviridae"	"Unclassified_Microviridae"
"vOTU_10176"	6.15768216897623	1.98175942923657	1.59624228371302	1.24151543249863	0.214415400748803	0.601378106242205	"Pararnavirae"	"Artverviricota"	"Revtraviricetes"	"Ortervirales"	"Retroviridae"	"Orthoretrovirinae"	"Betaretrovirus"
"vOTU_10210"	828.378261348694	-3.71000622239787	1.5957928191985	-2.32486709913963	0.020079067725571	0.156024231179027	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Microviridae"	"Unclassified_Microviridae"	"Unclassified_Microviridae"
"vOTU_10234"	1.09729920651616	0.502066825044869	1.95285175213969	0.257094182645849	0.79710606823048	0.933501570010099	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"
"vOTU_10259"	17.710770478661	1.28803922461576	1.84398057895298	0.698510190029829	0.484858187457401	0.816988596600952	"Orthornavirae"	"Pisuviricota"	"Stelpaviricetes"	"Stellavirales"	"Astroviridae"	"Unclassified_Astroviridae"	"Unclassified_Astroviridae"
