""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Subfamily"	"Genus"
"vOTU_10015"	832.769846022522	3.04790572775406	1.48513275526051	2.05227830101924	0.0401426235726538	0.21666018750172	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Microviridae"	"Unclassified_Microviridae"	"Unclassified_Microviridae"
"vOTU_100312"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"
"vOTU_100416"	0	NA	NA	NA	NA	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"
"vOTU_10110"	1.71585527544528	-0.445494448694967	1.93034208578135	-0.230785233340982	0.817481653676716	0.933587743619206	"Loabvirae"	"Hofneiviricota"	"Faserviricetes"	"Tubulavirales"	"Unclassified_Tubulavirales"	"Unclassified_Tubulavirales"	"Unclassified_Tubulavirales"
"vOTU_10114"	2.96183215710406	-0.765446197486829	2.31124733977652	-0.331183159981849	0.740506139548724	0.906085152118625	"Loabvirae"	"Hofneiviricota"	"Faserviricetes"	"Tubulavirales"	"Unclassified_Tubulavirales"	"Unclassified_Tubulavirales"	"Unclassified_Tubulavirales"
"vOTU_10115"	3.38384779921555	0.364076804637575	1.67720892340325	0.217073019083885	0.828151440289654	0.939951829320894	"Loabvirae"	"Hofneiviricota"	"Faserviricetes"	"Tubulavirales"	"Unclassified_Tubulavirales"	"Unclassified_Tubulavirales"	"Unclassified_Tubulavirales"
"vOTU_10124"	1586.54727447345	3.96516886716419	1.16529146894085	3.4027271054925	0.000667168818308571	0.0227587777872029	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Microviridae"	"Unclassified_Microviridae"	"Unclassified_Microviridae"
"vOTU_10176"	4.14637845641931	-0.552338960425512	1.16890424380813	-0.472527123886613	0.636550585999073	0.844447578732776	"Pararnavirae"	"Artverviricota"	"Revtraviricetes"	"Ortervirales"	"Retroviridae"	"Orthoretrovirinae"	"Betaretrovirus"
"vOTU_10210"	173.681412727669	1.11171380188095	1.20978738186017	0.918933209711259	0.358130508156241	0.647809484689807	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Microviridae"	"Unclassified_Microviridae"	"Unclassified_Microviridae"
"vOTU_10234"	0.822420973603705	-1.95193092708791	2.08152858557123	-0.937739188699271	0.348378459202493	NA	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"
"vOTU_10259"	21.2604109623565	-0.798768820517819	2.37096582347719	-0.336895965605428	0.736195326709466	0.903688471029002	"Orthornavirae"	"Pisuviricota"	"Stelpaviricetes"	"Stellavirales"	"Astroviridae"	"Unclassified_Astroviridae"	"Unclassified_Astroviridae"
"vOTU_10262"	496.924636628845	1.55671213261302	1.4957909156051	1.04072843094068	0.298001604198019	0.614725822272354	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Microviridae"	"Unclassified_Microviridae"	"Unclassified_Microviridae"
"vOTU_102746"	0.0749933529966529	-0.917215629525228	3.0596804911559	-0.299774970679607	0.764348808296452	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"
"vOTU_102827"	33.7409847196314	0.767345288949392	1.59266799938016	0.481798648084869	0.629948989853674	0.841355600007958	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"
"vOTU_10306"	1.71882872343857	-1.79879836091419	2.55413398036768	-0.704269382397569	0.481265029822101	0.743601653921206	"Orthornavirae"	"Pisuviricota"	"Stelpaviricetes"	"Stellavirales"	"Astroviridae"	"Unclassified_Astroviridae"	"Unclassified_Astroviridae"
"vOTU_103361"	0.323755781944002	1.71197395826397	3.03682123976731	0.56373879892751	0.572931908225554	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"
"vOTU_103372"	30.9393303868823	-2.02432388014646	2.1519089291779	-0.940710758108067	0.346853104366429	0.647809484689807	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"
"vOTU_103376"	44.9504837705103	1.03509620705481	2.03545174391131	0.508533896787836	0.611078973617716	0.83037533313898	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"
"vOTU_104276"	0	0	0	0	1	NA	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"	"Unclassified_Viruses"
"vOTU_10443"	0.5635578109286	-2.70177737111251	2.77915307902501	-0.972158529698682	0.330971687973935	NA	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"
"vOTU_104488"	172.659559304325	0.440098480203825	1.79591391351441	0.245055443299395	0.806413502245927	0.933587743619206	"Orthornavirae"	"Kitrinoviricota"	"Magsaviricetes"	"Nodamuvirales"	"Nodaviridae"	"Unclassified_Nodaviridae"	"Unclassified_Nodaviridae"
"vOTU_104668"	9.59467060904861	-1.86081349246055	1.67242651600464	-1.11264290218619	0.265861826988769	0.572909749679503	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"
"vOTU_10472"	7.78317054307686	0.314473962746362	2.03412487570583	0.154599143101891	0.877137345580745	0.962652128576083	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Microviridae"	"Unclassified_Microviridae"	"Unclassified_Microviridae"
"vOTU_104944"	8374.36815799423	0.125096874345859	1.99756830621988	0.0626245790726362	0.950065456559932	0.97480674449118	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"vOTU_10525"	5.80959527857518	-0.580201953332852	1.78360958533752	-0.325296498798002	0.744956680457683	0.906092879024948	"Orthornavirae"	"Pisuviricota"	"Stelpaviricetes"	"Stellavirales"	"Astroviridae"	"Unclassified_Astroviridae"	"Unclassified_Astroviridae"
"vOTU_1056"	129.588727638898	-0.57898351430251	0.724396216801606	-0.799263580998351	0.424137591563822	0.696292546150607	"Heunggongvirae"	"Uroviricota"	"Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"	"Unclassified_Caudoviricetes"
"vOTU_10565"	5169.44797285616	0.939703427726537	0.743381317150818	1.26409341484148	0.206196499926118	0.489406150427051	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Unclassified_Petitvirales"	"Unclassified_Petitvirales"	"Unclassified_Petitvirales"
"vOTU_10576"	5.01392856004222	-2.24008480833067	1.75094007428114	-1.2793612078645	0.200769887676708	0.486071525186003	"Orthornavirae"	"Pisuviricota"	"Stelpaviricetes"	"Stellavirales"	"Astroviridae"	"Unclassified_Astroviridae"	"Unclassified_Astroviridae"
"vOTU_10584"	0.286067693683722	0.361661200091925	3.04785642482721	0.118660838859045	0.905544063340333	NA	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Unclassified_Petitvirales"	"Unclassified_Petitvirales"	"Unclassified_Petitvirales"
"vOTU_10589"	0.0492660376629921	-0.588023881492654	3.06038250977364	-0.192140648959645	0.847632034802276	NA	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Unclassified_Petitvirales"	"Unclassified_Petitvirales"	"Unclassified_Petitvirales"
"vOTU_10615"	0.188186561588875	-1.35539065314413	3.0559803822261	-0.443520731031921	0.657389127625464	NA	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Unclassified_Petitvirales"	"Unclassified_Petitvirales"	"Unclassified_Petitvirales"
"vOTU_10616"	0.237382235637153	-1.67607242216768	3.05109731489049	-0.54933430473942	0.582776049337623	NA	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Unclassified_Petitvirales"	"Unclassified_Petitvirales"	"Unclassified_Petitvirales"
"vOTU_106199"	1792.37972005508	-1.77172248499201	2.48931409783497	-0.711731189942213	0.476631249724393	0.742263685341545	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
"vOTU_10622"	0.599014110690901	0.201128866850693	2.92745070082156	0.0687044419891506	0.945224882365397	NA	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Unclassified_Petitvirales"	"Unclassified_Petitvirales"	"Unclassified_Petitvirales"
"vOTU_10638"	19697.7765382832	0.0991072438670356	0.770607712914924	0.128609203108219	0.897666883763892	0.970636231517858	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Unclassified_Petitvirales"	"Unclassified_Petitvirales"	"Unclassified_Petitvirales"
"vOTU_10644"	918.447765339337	3.43360306388696	1.18915298804485	2.88743592994904	0.00388395698626971	0.0527682431927678	"Sangervirae"	"Phixviricota"	"Malgrandaviricetes"	"Petitvirales"	"Microviridae"	"Unclassified_Microviridae"	"Unclassified_Microviridae"
"vOTU_106458"	1471.56032549698	-1.62682794185481	2.48819124986941	-0.65381949315198	0.513228106233692	0.767821026457184	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Unknown"
