SampleID	Barcode_ID	ProjectID	Remove	Sample_time_point	Mouse_ID	Vendor	Diet	Treatment	Sex	Liver_response
NXT075Mao65	9	SafeVir_f3_1	x	1w_after_FVT	1	Taconic	HFD	Obese_control	Male	Non_Response
NXT075Mao66	21	SafeVir_f3_2	x	1w_after_FVT	2	Taconic	LFD	Lean_control	Male	Response
NXT075Mao67	33	SafeVir_f3_3	x	1w_after_FVT	3	Taconic	LFD	Lean_control	Male	Response
NXT075Mao68	45	SafeVir_f3_4	x	1w_after_FVT	4	Taconic	HFD	FVT_SDT	Male	Non_Response
NXT075Mao69	57	SafeVir_f3_5	x	1w_after_FVT	5	Taconic	HFD	FVT_ChP	Male	Response
NXT075Mao70	69	SafeVir_f3_6	x	1w_after_FVT	6	Taconic	HFD	Unmodified_FVT	Male	Response
NXT075Mao71	81	SafeVir_f3_7	x	1w_after_FVT	7	Taconic	HFD	FVT_PyT	Male	Non_Response
NXT075Mao72	93	SafeVir_f3_8	x	1w_after_FVT	8	Taconic	HFD	FVT_SDT	Male	Non_Response
NXT075Mao73	10	SafeVir_f3_9	x	1w_after_FVT	9	Taconic	LFD	Lean_control	Male	Response
NXT075Mao74	22	SafeVir_f3_10	x	1w_after_FVT	10	Taconic	HFD	FVT_SDT	Male	Non_Response
NXT075Mao75	34	SafeVir_f3_11	x	1w_after_FVT	11	Taconic	HFD	FVT_ChP	Male	Non_Response
NXT075Mao76	46	SafeVir_f3_12	x	1w_after_FVT	12	Taconic	HFD	FVT_ChP	Male	Non_Response
NXT075Mao77	58	SafeVir_f3_13	x	1w_after_FVT	13	Taconic	HFD	FVT_PyT	Male	Non_Response
NXT075Mao78	70	SafeVir_f3_14	x	1w_after_FVT	14	Taconic	HFD	Obese_control	Male	Non_Response
NXT075Mao79	82	SafeVir_f3_15	x	1w_after_FVT	15	Taconic	HFD	Obese_control	Male	Non_Response
NXT075Mao80	94	SafeVir_f3_16	x	1w_after_FVT	16	Taconic	LFD	Lean_control	Male	Response
NXT075Mao81	11	SafeVir_f3_17	x	1w_after_FVT	17	Taconic	HFD	FVT_SDT	Male	Non_Response
NXT075Mao82	23	SafeVir_f3_18	x	1w_after_FVT	18	Taconic	HFD	FVT_SDT	Male	Non_Response
NXT075Mao83	35	SafeVir_f3_19	x	1w_after_FVT	19	Taconic	HFD	FVT_ChP	Male	Non_Response
NXT075Mao84	47	SafeVir_f3_21	x	1w_after_FVT	21	Taconic	HFD	Unmodified_FVT	Male	Non_Response
NXT075Mao85	59	SafeVir_f3_22	x	1w_after_FVT	22	Taconic	HFD	Unmodified_FVT	Male	Response
NXT075Mao86	71	SafeVir_f3_23	x	1w_after_FVT	23	Taconic	HFD	Obese_control	Male	Non_Response
NXT075Mao87	83	SafeVir_f3_24	x	1w_after_FVT	24	Taconic	LFD	Lean_control	Male	Response
NXT075Mao88	95	SafeVir_f3_25	x	1w_after_FVT	25	Taconic	HFD	FVT_PyT	Male	Response
NXT075Mao89	12	SafeVir_f3_26	x	1w_after_FVT	26	Taconic	HFD	FVT_PyT	Male	Response
NXT075Mao90	24	SafeVir_f3_27	x	1w_after_FVT	27	Taconic	HFD	FVT_SDT	Male	Non_Response
NXT075Mao91	36	SafeVir_f3_28	x	1w_after_FVT	28	Taconic	HFD	FVT_ChP	Male	Response
NXT075Mao92	48	SafeVir_f3_29	x	1w_after_FVT	29	Taconic	HFD	FVT_ChP	Male	Non_Response
NXT075Mao93	60	SafeVir_f3_31	x	1w_after_FVT	31	Taconic	HFD	FVT_SDT	Male	Non_Response
NXT075Mao94	72	SafeVir_f3_32	x	1w_after_FVT	32	Taconic	LFD	Lean_control	Male	Response
NXT075Mao97	217	SafeVir_f3_34	x	1w_after_FVT	34	Taconic	HFD	FVT_ChP	Male	Non_Response
NXT075Mao98	229	SafeVir_f3_36	x	1w_after_FVT	36	Taconic	HFD	FVT_SDT	Male	Non_Response
NXT075Mao99	241	SafeVir_f3_37	x	1w_after_FVT	37	Taconic	HFD	FVT_PyT	Male	Response
NXT075Mao100	253	SafeVir_f3_38	x	1w_after_FVT	38	Taconic	HFD	Obese_control	Male	Non_Response
NXT075Mao101	265	SafeVir_f3_39	x	1w_after_FVT	39	Taconic	HFD	Obese_control	Male	Non_Response
NXT075Mao102	277	SafeVir_f3_41	x	1w_after_FVT	41	Taconic	LFD	Lean_control	Male	Response
NXT075Mao103	194	SafeVir_f3_42	x	1w_after_FVT	42	Taconic	HFD	FVT_PyT	Male	Non_Response
NXT075Mao104	206	SafeVir_f3_43	x	1w_after_FVT	43	Taconic	LFD	Lean_control	Male	Response
NXT075Mao105	218	SafeVir_f3_44	x	1w_after_FVT	44	Taconic	HFD	Unmodified_FVT	Male	Response
NXT075Mao106	230	SafeVir_f3_45	x	1w_after_FVT	45	Taconic	HFD	Obese_control	Male	Response
NXT075Mao107	242	SafeVir_f3_46	x	1w_after_FVT	46	Taconic	HFD	Unmodified_FVT	Male	Non_Response
NXT075Mao108	254	SafeVir_f3_48	x	1w_after_FVT	48	Taconic	HFD	FVT_PyT	Male	Non_Response
NXT075Mao193	145	SafeVir_f0_1	x	Arrival	1	Taconic	HFD	Obese_control	Male	Non_Response
NXT075Mao194	157	SafeVir_f0_2	x	Arrival	2	Taconic	LFD	Lean_control	Male	Response
NXT075Mao195	169	SafeVir_f0_3	x	Arrival	3	Taconic	LFD	Lean_control	Male	Response
NXT075Mao196	181	SafeVir_f0_4	x	Arrival	4	Taconic	HFD	FVT_SDT	Male	Non_Response
NXT075Mao199	98	SafeVir_f0_5	x	Arrival	5	Taconic	HFD	FVT_ChP	Male	Response
NXT075Mao200	110	SafeVir_f0_6	x	Arrival	6	Taconic	HFD	Unmodified_FVT	Male	Response
NXT075Mao201	122	SafeVir_f0_7	x	Arrival	7	Taconic	HFD	FVT_PyT	Male	Non_Response
NXT075Mao202	134	SafeVir_f0_8	x	Arrival	8	Taconic	HFD	FVT_SDT	Male	Non_Response
NXT075Mao203	146	SafeVir_f0_9	x	Arrival	9	Taconic	LFD	Lean_control	Male	Response
NXT075Mao204	158	SafeVir_f0_10	x	Arrival	10	Taconic	HFD	FVT_SDT	Male	Non_Response
NXT075Mao205	99	SafeVir_f0_13	x	Arrival	13	Taconic	HFD	FVT_PyT	Male	Non_Response
NXT075Mao206	111	SafeVir_f0_14	x	Arrival	14	Taconic	HFD	Obese_control	Male	Non_Response
NXT075Mao207	123	SafeVir_f0_15	x	Arrival	15	Taconic	HFD	Obese_control	Male	Non_Response
NXT075Mao208	135	SafeVir_f0_16	x	Arrival	16	Taconic	LFD	Lean_control	Male	Response
NXT075Mao209	147	SafeVir_f0_17	x	Arrival	17	Taconic	HFD	FVT_SDT	Male	Non_Response
NXT075Mao210	159	SafeVir_f0_18	x	Arrival	18	Taconic	HFD	FVT_SDT	Male	Non_Response
NXT075Mao211	171	SafeVir_f0_19	x	Arrival	19	Taconic	HFD	FVT_ChP	Male	Non_Response
NXT075Mao212	183	SafeVir_f0_20	x	Arrival	20	Taconic	HFD	FVT_ChP	Male	Non_Response
NXT075Mao213	100	SafeVir_f0_21	x	Arrival	21	Taconic	HFD	Unmodified_FVT	Male	Non_Response
NXT075Mao214	112	SafeVir_f0_22	x	Arrival	22	Taconic	HFD	Unmodified_FVT	Male	Response
NXT075Mao215	124	SafeVir_f0_23	x	Arrival	23	Taconic	HFD	Obese_control	Male	Non_Response
NXT075Mao216	136	SafeVir_f0_24	x	Arrival	24	Taconic	LFD	Lean_control	Male	Response
NXT075Mao217	148	SafeVir_f0_25	x	Arrival	25	Taconic	HFD	FVT_PyT	Male	Response
NXT075Mao218	160	SafeVir_f0_26	x	Arrival	26	Taconic	HFD	FVT_PyT	Male	Response
NXT075Mao219	172	SafeVir_f0_27	x	Arrival	27	Taconic	HFD	FVT_SDT	Male	Non_Response
NXT075Mao220	184	SafeVir_f0_28	x	Arrival	28	Taconic	HFD	FVT_ChP	Male	Response
NXT075Mao221	101	SafeVir_f0_29	x	Arrival	29	Taconic	HFD	FVT_ChP	Male	Non_Response
NXT075Mao222	113	SafeVir_f0_30	x	Arrival	30	Taconic	HFD	Unmodified_FVT	Male	Non_Response
NXT075Mao223	125	SafeVir_f0_31	x	Arrival	31	Taconic	HFD	FVT_SDT	Male	Non_Response
NXT075Mao224	137	SafeVir_f0_32	x	Arrival	32	Taconic	LFD	Lean_control	Male	Response
NXT075Mao225	149	SafeVir_f0_33	x	Arrival	33	Taconic	HFD	FVT_PyT	Male	Non_Response
