SampleID	NovaSeqID	Study	Remove	ProjectID	Sample_time_point	Sample_or_Control	Mouse_ID	Vendor	Diet	Treatment	Sex	Liver_response
NovaSeq_TSR97	TSR97	DIO	x	f4_1	Termination	TRUE_sample	1	Taconic	HFD	Obese_control	Male	Non_Response
NovaSeq_TSR98	TSR98	DIO	x	f4_2	Termination	TRUE_sample	2	Taconic	LFD	Lean_control	Male	Response
NovaSeq_TSR99	TSR99	DIO	x	f4_3	Termination	TRUE_sample	3	Taconic	LFD	Lean_control	Male	Response
NovaSeq_TSR100	TSR100	DIO	x	f4_4	Termination	TRUE_sample	4	Taconic	HFD	FVT_SDT	Male	Non_Response
NovaSeq_TSR101	TSR101	DIO	x	f4_5	Termination	TRUE_sample	5	Taconic	HFD	FVT_ChP	Male	Response
NovaSeq_TSR102	TSR102	DIO	x	f4_6	Termination	TRUE_sample	6	Taconic	HFD	Unmodified_FVT	Male	Response
NovaSeq_TSR103	TSR103	DIO	x	f4_7	Termination	TRUE_sample	7	Taconic	HFD	FVT_PyT	Male	Non_Response
NovaSeq_TSR104	TSR104	DIO	x	f4_8	Termination	TRUE_sample	8	Taconic	HFD	FVT_SDT	Male	Non_Response
NovaSeq_TSR105	TSR105	DIO	x	f4_9	Termination	TRUE_sample	9	Taconic	LFD	Lean_control	Male	Response
NovaSeq_TSR106	TSR106	DIO	x	f4_10	Termination	TRUE_sample	10	Taconic	HFD	FVT_SDT	Male	Non_Response
NovaSeq_TSR107	TSR107	DIO	x	f4_11	Termination	TRUE_sample	11	Taconic	HFD	FVT_ChP	Male	Non_Response
NovaSeq_TSR108	TSR108	DIO	x	f4_12	Termination	TRUE_sample	12	Taconic	HFD	FVT_ChP	Male	Non_Response
NovaSeq_TSR109	TSR109	DIO	x	f4_13	Termination	TRUE_sample	13	Taconic	HFD	FVT_PyT	Male	Non_Response
NovaSeq_TSR110	TSR110	DIO	x	f4_14	Termination	TRUE_sample	14	Taconic	HFD	Obese_control	Male	Non_Response
NovaSeq_TSR111	TSR111	DIO	x	f4_15	Termination	TRUE_sample	15	Taconic	HFD	Obese_control	Male	Non_Response
NovaSeq_TSR112	TSR112	DIO	x	f4_16	Termination	TRUE_sample	16	Taconic	LFD	Lean_control	Male	Response
NovaSeq_TSR113	TSR113	DIO	x	f4_17	Termination	TRUE_sample	17	Taconic	HFD	FVT_SDT	Male	Non_Response
NovaSeq_TSR114	TSR114	DIO	x	f4_18	Termination	TRUE_sample	18	Taconic	HFD	FVT_SDT	Male	Non_Response
NovaSeq_TSR115	TSR115	DIO	x	f4_19	Termination	TRUE_sample	19	Taconic	HFD	FVT_ChP	Male	Non_Response
NovaSeq_TSR116	TSR116	DIO	x	f4_20	Termination	TRUE_sample	20	Taconic	HFD	FVT_ChP	Male	Non_Response
NovaSeq_TSR117	TSR117	DIO	x	f4_21	Termination	TRUE_sample	21	Taconic	HFD	Unmodified_FVT	Male	Non_Response
NovaSeq_TSR118	TSR118	DIO	x	f4_22	Termination	TRUE_sample	22	Taconic	HFD	Unmodified_FVT	Male	Response
NovaSeq_TSR119	TSR119	DIO	x	f4_23	Termination	TRUE_sample	23	Taconic	HFD	Obese_control	Male	Non_Response
NovaSeq_TSR120	TSR120	DIO	x	f4_24	Termination	TRUE_sample	24	Taconic	LFD	Lean_control	Male	Response
NovaSeq_TSR121	TSR121	DIO	x	f4_25	Termination	TRUE_sample	25	Taconic	HFD	FVT_PyT	Male	Response
NovaSeq_TSR122	TSR122	DIO	x	f4_26	Termination	TRUE_sample	26	Taconic	HFD	FVT_PyT	Male	Response
NovaSeq_TSR123	TSR123	DIO	x	f4_27	Termination	TRUE_sample	27	Taconic	HFD	FVT_SDT	Male	Non_Response
NovaSeq_TSR124	TSR124	DIO	x	f4_28	Termination	TRUE_sample	28	Taconic	HFD	FVT_ChP	Male	Response
NovaSeq_TSR125	TSR125	DIO	x	f4_29	Termination	TRUE_sample	29	Taconic	HFD	FVT_ChP	Male	Non_Response
NovaSeq_TSR126	TSR126	DIO	x	f4_30	Termination	TRUE_sample	30	Taconic	HFD	Unmodified_FVT	Male	Non_Response
NovaSeq_TSR127	TSR127	DIO	x	f4_31	Termination	TRUE_sample	31	Taconic	HFD	FVT_SDT	Male	Non_Response
NovaSeq_TSR128	TSR128	DIO	x	f4_32	Termination	TRUE_sample	32	Taconic	LFD	Lean_control	Male	Response
NovaSeq_TSR129	TSR129	DIO	x	f4_33	Termination	TRUE_sample	33	Taconic	HFD	FVT_PyT	Male	Non_Response
NovaSeq_TSR130	TSR130	DIO	x	f4_34	Termination	TRUE_sample	34	Taconic	HFD	FVT_ChP	Male	Non_Response
NovaSeq_TSR131	TSR131	DIO	x	f4_35	Termination	TRUE_sample	35	Taconic	HFD	Unmodified_FVT	Male	Response
NovaSeq_TSR132	TSR132	DIO	x	f4_36	Termination	TRUE_sample	36	Taconic	HFD	FVT_SDT	Male	Non_Response
NovaSeq_TSR133	TSR133	DIO	x	f4_37	Termination	TRUE_sample	37	Taconic	HFD	FVT_PyT	Male	Response
NovaSeq_TSR134	TSR134	DIO	x	f4_38	Termination	TRUE_sample	38	Taconic	HFD	Obese_control	Male	Non_Response
NovaSeq_TSR135	TSR135	DIO	x	f4_39	Termination	TRUE_sample	39	Taconic	HFD	Obese_control	Male	Non_Response
NovaSeq_TSR136	TSR136	DIO	x	f4_40	Termination	TRUE_sample	40	Taconic	HFD	Obese_control	Male	Non_Response
NovaSeq_TSR137	TSR137	DIO	x	f4_41	Termination	TRUE_sample	41	Taconic	LFD	Lean_control	Male	Response
NovaSeq_TSR138	TSR138	DIO	x	f4_42	Termination	TRUE_sample	42	Taconic	HFD	FVT_PyT	Male	Non_Response
NovaSeq_TSR139	TSR139	DIO	x	f4_43	Termination	TRUE_sample	43	Taconic	LFD	Lean_control	Male	Response
NovaSeq_TSR140	TSR140	DIO	x	f4_44	Termination	TRUE_sample	44	Taconic	HFD	Unmodified_FVT	Male	Response
NovaSeq_TSR141	TSR141	DIO	x	f4_45	Termination	TRUE_sample	45	Taconic	HFD	Obese_control	Male	Response
NovaSeq_TSR142	TSR142	DIO	x	f4_46	Termination	TRUE_sample	46	Taconic	HFD	Unmodified_FVT	Male	Non_Response
NovaSeq_TSR143	TSR143	DIO	x	f4_47	Termination	TRUE_sample	47	Taconic	HFD	Unmodified_FVT	Male	Non_Response
NovaSeq_TSR144	TSR144	DIO	x	f4_48	Termination	TRUE_sample	48	Taconic	HFD	FVT_PyT	Male	Non_Response
NovaSeq_TSR147	TSR147	DIO	x	f0_1	Arrival	TRUE_sample	1	Taconic	HFD	Obese_control	Male	Non_Response
NovaSeq_TSR148	TSR148	DIO	x	f0_2	Arrival	TRUE_sample	2	Taconic	LFD	Lean_control	Male	Response
NovaSeq_TSR149	TSR149	DIO	x	f0_3	Arrival	TRUE_sample	3	Taconic	LFD	Lean_control	Male	Response
NovaSeq_TSR150	TSR150	DIO	x	f0_4	Arrival	TRUE_sample	4	Taconic	HFD	FVT_SDT	Male	Non_Response
NovaSeq_TSR151	TSR151	DIO	x	f0_5	Arrival	TRUE_sample	5	Taconic	HFD	FVT_ChP	Male	Response
NovaSeq_TSR152	TSR152	DIO	x	f0_6	Arrival	TRUE_sample	6	Taconic	HFD	Unmodified_FVT	Male	Response
NovaSeq_TSR153	TSR153	DIO	x	f0_7	Arrival	TRUE_sample	7	Taconic	HFD	FVT_PyT	Male	Non_Response
NovaSeq_TSR154	TSR154	DIO	x	f0_8	Arrival	TRUE_sample	8	Taconic	HFD	FVT_SDT	Male	Non_Response
NovaSeq_TSR155	TSR155	DIO	s	f0_9	Remove	TRUE_sample	9	Taconic	LFD	Lean_control	Male	Response
NovaSeq_TSR156	TSR156	DIO	s	f0_10	Remove	TRUE_sample	10	Taconic	HFD	FVT_SDT	Male	Non_Response
