"","Domain","Phylum","Class","Order","Family","Genus"
"vOTU_39","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_42","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_57","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_64","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_77","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_78","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_79","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_80","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_81","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_92","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_109","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_133","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_152","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_153","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_179","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_181","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_192","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_193","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_195","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_202","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_212","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_242","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_245","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_262","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_321","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_326","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_410","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_420","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_480","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_494","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_510","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_527","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_537","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_576","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_577","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_648","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_667","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_688","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_710","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_733","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_735","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_756","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_775","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"vOTU_801","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
