Mouse_ID	Cage	Group	ewat_mg	Weight_gain_perc	Steatosis	Inflammation	Hepatocyte_injury	Cumulative_score	Liver_response	OGTT_t0_w18	OGTT_t15_w18	OGTT_t30_w18	OGTT_t60_w18	OGTT_t90_w18	OGTT_t120_w18	AUC1_w18	OGTT_t0_w13	OGTT_t15_w13	OGTT_t30_w13	OGTT_t60_w13	OGTT_t90_w13	OGTT_t120_w13	AUC1_w13	fat_Dendritic_cells	fat_Macrophages	fat_M1_macrophages	fat_B_cells	fat_Cytotoxic_T_cells	fat_Th_cells	fat_Central_memory_T_cells_CD8	fat_Effector_memory_T_cells_CD8	fat_Naive_T_cells_CD8	fat_Central_memory_T_cells_CD4	fat_Effector_memory_T_cells_CD4	fat_Naive_T_cells_CD4	mln_Dendritic_cells	mln_Macrophages	mln_M1_macrophages	mln_B_cells	mln_Th_cells	mln_Cytotoxic_T_cells	mln_Central_memory_T_cells_CD8	mln_Effector_memory_T_cells_CD8	mln_Naive_T_cells_CD8	mln_Central_memory_T_cells_CD4	mln_Effector_memory_T_cells_CD4	mln_Naive_T_cells_CD4	GM_CSF	IFN_g	IL_10	IL_15	IL_17	IL_6	KC_GRO	MIP_2	TNF_a	IL_22
5	6	FVT_ChP	3201	180.3797468	2	1	1	4	Non	10.1	14.5	12.3	7.8	8.1	7.5	1159.5	7.8	15.8	10.8	9.4	9.3	9	1234.5	0.0114	0.4738	0.0265	0.0436	0.03	0.0599	0.1149	0.7147	0.024	0.1698	0.7555	0.029	0.02	0.03	0.09	0.55	0.0639	0.1704	0.5896	0.0211	0.3796	0.7384	0.1524	0.1005	0.14354832	0.113405676	3.977029961	25.44716618	0.211290378	2.540206574	239.5162816	24.50965948	11.63273613	0.27696323
28	12	FVT_ChP	2220	167.8362573	2	1	1	4	Non	7.2	12.3	10.4	7.7	8.4	6.8	1057.5	6.7	17.5	10.8	8.4	9.5	8.2	1215.75	0.0243	0.498	0.0682	0.0595	0.0081	0.012	0.3579	0.6005	0.0575	0.1031	0.8626	0.022	0.01	0.01	0.33	0.24	0.1079	0.2823	0.4587	0.0329	0.4914	0.6224	0.1529	0.2036	0.352603692	NA	8.667611758	28.75264622	1.231720799	18.96257376	344.6288605	42.55124172	13.21872869	NA
11	12	FVT_ChP	1735	208.8050314	3	1	2	6	Non	8.1	16.3	17.8	11.8	9.1	6.9	1436.25	10.8	27	27	26.6	23.4	19.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01	0.02	0.09	0.64	0.0665	0.1579	0.5804	0.0307	0.3775	0.6105	0.2121	0.1649	NA	NA	14.58540008	38.90463664	4.709696063	9.735596295	436.0832053	57.39186536	31.00520487	0.066674025
12	6	FVT_ChP	1649	260.2836879	3	1	2	6	Non	10.8	21.1	22.7	9.6	8.7	8.3	1581.75	7.6	18.9	13.2	11.6	8.4	9.8	1384.5	0.0295	0.5633	0.0515	0.0749	0.0378	0.0416	0.3179	0.4923	0.1133	0.1181	0.8065	0.0377	0.01	0.06	0.07	0.63	0.0551	0.1478	0.6785	0.0238	0.2861	0.74	0.13	0.1188	0.196506009	0.062301866	14.75061094	35.27735425	4.819136085	19.83200744	695.9972562	61.35840608	13.98783397	NA
19	12	FVT_ChP	2445	180.4597701	3	1	2	6	Non	11.4	15.8	11.1	7.6	5.6	6.5	1065.75	7	17.1	12.3	10.6	9.5	8.2	1311.75	0.0249	0.4132	0.064	0.0862	0.0172	0.023	0.2616	0.5949	0.064	0.1763	0.6652	0.0998	0.01	0.02	0.1	0.52	0.0799	0.1989	0.5359	0.0227	0.4354	0.6891	0.1238	0.1785	0.044098553	0.088092676	7.65464921	21.68691074	1.231720799	12.05149096	305.0986278	44.25710072	13.2614971	0.045059435
20	6	FVT_ChP	1746	206.8322981	3	1	2	6	Non	7.8	15.1	12.6	8.4	7.7	7.2	1159.5	8.8	22.9	22.2	20.8	17.9	15.7	2305.5	0.0274	0.5147	0.0646	0.1608	0.0378	0.0498	0.3173	0.4362	0.0756	0.1231	0.6525	0.1	0.01	0.03	0.09	0.58	0.0649	0.1543	0.6321	0.0215	0.3342	0.7111	0.1578	0.1141	0.361186658	0.007765612	14.25477037	40.10768365	3.210325519	26.02272635	506.8641161	57.4100868	18.06659836	NA
29	6	FVT_ChP	1698	259.7222222	3	1	2	6	Non	16.2	23.6	24.7	16.2	12.8	10.7	NA	8.8	27.3	27.4	22.9	13.8	15.8	2430	0.0455	0.5779	0.0521	0.0897	0.0189	0.04	0.3209	0.3732	0.1637	0.0999	0.8193	0.0172	0.01	0.04	0.11	0.63	0.0616	0.1501	0.6378	0.0302	0.3233	0.7012	0.1761	0.1059	0.062537275	NA	8.161710833	25.44716618	1.10972151	4.380302506	302.8941069	42.32972778	13.90245249	NA
34	12	FVT_ChP	2180	191.1242604	3	1	2	6	Non	8.2	13.8	14.6	9.8	8.1	8.2	1257	8.1	18.1	13.1	12.1	10	9.8	1437	0.0206	0.2947	0.1076	0.1918	0.0389	0.0517	0.332	0.4651	0.084	0.2935	0.4739	0.1661	0.01	0.02	0.08	0.6	0.0821	0.1881	0.5811	0.0326	0.3744	0.6737	0.1727	0.1438	0.170104831	2.019286173	17.7134627	24.61560701	1.532855489	14.5437923	415.0825487	53.41350809	18.84866705	NA
25	8	FVT_PyT	3021	176.3975155	2	0	1	3	Non	7.5	17.9	14.7	13.9	8.9	6.2	1432.5	7.4	20.2	14.7	12.9	12.5	10.9	1614.75	0.0178	0.472	0.0436	0.0965	0.0166	0.0259	0.2706	0.6022	0.0571	0.242	0.5355	0.1693	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
26	2	FVT_PyT	2806	225.984252	2	1	1	4	Non	7.8	15.4	11.8	8.2	7.9	6.6	1137	7.5	15.9	9.3	12.9	7.7	6.3	1216.5	0.015	0.5262	0.0298	0.0252	0.0289	0.033	0.2043	0.7819	0.0267	0.1481	0.8073	0.0343	0.01	0.02	0.08	0.5	0.0671	0.1994	0.5708	0.0241	0.3939	0.7192	0.1511	0.1211	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
