vOTU	size
vOTU_1	592345
vOTU_2	435522
vOTU_3	380310
vOTU_5	371810
vOTU_7	339463
vOTU_8	332624
vOTU_9	302506
vOTU_10	298804
vOTU_13	284718
vOTU_15	272308
vOTU_17	258217
vOTU_25	223524
vOTU_29	217098
vOTU_31	212751
vOTU_37	203195
vOTU_38	203067
vOTU_39	198037
vOTU_40	196161
vOTU_41	194157
vOTU_42	190129
vOTU_43	189120
vOTU_44	187157
vOTU_45	185632
vOTU_47	182548
vOTU_49	180236
vOTU_51	179378
vOTU_53	174302
vOTU_56	168778
vOTU_57	168130
vOTU_58	164204
vOTU_61	158115
vOTU_64	154676
vOTU_66	150560
vOTU_69	147896
vOTU_70	147345
vOTU_71	146091
vOTU_72	145195
vOTU_77	139918
vOTU_78	139789
vOTU_79	139789
vOTU_80	139788
vOTU_81	139784
vOTU_82	138592
vOTU_85	137791
vOTU_86	137528
vOTU_87	137387
vOTU_90	136116
vOTU_91	134458
vOTU_92	134277
vOTU_94	133783
vOTU_95	133480
vOTU_99	129192
vOTU_103	127560
vOTU_108	125468
vOTU_109	125150
vOTU_110	124938
vOTU_112	123848
vOTU_117	122279
vOTU_119	121975
vOTU_121	121643
vOTU_123	121105
vOTU_124	120545
vOTU_126	119228
vOTU_129	118905
vOTU_131	118736
vOTU_132	118504
vOTU_133	117202
vOTU_134	116670
vOTU_135	116097
vOTU_139	113576
vOTU_141	113236
vOTU_149	110546
vOTU_152	108278
vOTU_153	108178
vOTU_159	106666
vOTU_160	106003
vOTU_161	105852
vOTU_163	104543
vOTU_168	103634
vOTU_169	103580
vOTU_170	103423
vOTU_174	102285
vOTU_175	102255
vOTU_176	102210
vOTU_179	101781
vOTU_181	100414
vOTU_182	99898
vOTU_186	98150
vOTU_187	98052
vOTU_188	98043
vOTU_189	97962
vOTU_192	97232
vOTU_193	97197
vOTU_194	97145
vOTU_195	96984
vOTU_198	96814
vOTU_200	96658
vOTU_202	95965
vOTU_204	95900
vOTU_209	94725
vOTU_211	94479
vOTU_212	94379
vOTU_214	93956
vOTU_217	93298
vOTU_223	92386
vOTU_227	91387
vOTU_228	91325
vOTU_229	91129
vOTU_237	89808
vOTU_238	89491
vOTU_240	89267
vOTU_242	88785
vOTU_245	88189
vOTU_249	87239
vOTU_253	86744
vOTU_254	86706
vOTU_262	84665
vOTU_264	84584
vOTU_265	84135
vOTU_268	83801
vOTU_273	82857
vOTU_276	82680
vOTU_278	82443
vOTU_280	82299
vOTU_281	82095
vOTU_283	81990
vOTU_284	81567
vOTU_288	81321
vOTU_294	79372
vOTU_295	79201
vOTU_308	77541
vOTU_310	77453
vOTU_321	75733
vOTU_326	74925
vOTU_328	74645
vOTU_329	74553
vOTU_330	74370
vOTU_338	72887
vOTU_343	72672
vOTU_350	72129
vOTU_354	71712
vOTU_356	71380
vOTU_361	70891
vOTU_362	70890
vOTU_363	70797
vOTU_365	70714
vOTU_373	69941
vOTU_374	69810
vOTU_375	69650
vOTU_378	69485
vOTU_386	69067
vOTU_392	67893
vOTU_393	67883
vOTU_404	66899
vOTU_407	66795
vOTU_410	66685
vOTU_420	65061
vOTU_427	64453
vOTU_433	63847
vOTU_438	63543
vOTU_442	63346
vOTU_445	63183
vOTU_447	63067
vOTU_458	62621
vOTU_464	62230
vOTU_467	62176
vOTU_469	62092
vOTU_470	62056
vOTU_471	61963
vOTU_474	61722
vOTU_476	61562
vOTU_480	61320
vOTU_484	61097
vOTU_485	61039
vOTU_486	60999
vOTU_487	60989
vOTU_489	60616
vOTU_490	60544
vOTU_494	60441
vOTU_495	60281
vOTU_505	59698
vOTU_510	59513
vOTU_515	59306
vOTU_519	59144
vOTU_521	59131
vOTU_522	59082
vOTU_523	59049
vOTU_526	59009
vOTU_527	58851
vOTU_528	58816
vOTU_531	58610
vOTU_537	58351
vOTU_547	57414
vOTU_549	57270
vOTU_551	57024
vOTU_552	56910
vOTU_553	56747
vOTU_556	56418
vOTU_563	55817
vOTU_564	55783
vOTU_565	55653
vOTU_567	55473
vOTU_568	55411
vOTU_573	55258
vOTU_576	55094
vOTU_577	55045
vOTU_579	54922
vOTU_585	54633
vOTU_587	54459
vOTU_592	54347
vOTU_594	54155
vOTU_596	54128
vOTU_597	54076
vOTU_598	54072
vOTU_607	53799
vOTU_609	53715
vOTU_611	53690
vOTU_615	53635
vOTU_626	52963
vOTU_631	52628
vOTU_635	52535
vOTU_638	52221
vOTU_648	51949
vOTU_651	51809
vOTU_659	51417
vOTU_661	51395
vOTU_662	51381
vOTU_666	51106
vOTU_667	51014
vOTU_669	50845
vOTU_670	50832
vOTU_674	50723
vOTU_679	50560
vOTU_680	50550
vOTU_685	50280
vOTU_687	50169
vOTU_688	50145
vOTU_690	50063
vOTU_696	49780
vOTU_702	49651
vOTU_703	49509
vOTU_709	49080
vOTU_710	49075
vOTU_713	48953
vOTU_718	48806
vOTU_720	48737
vOTU_725	48531
vOTU_727	48369
